"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","Cluster"
"Edwin Jackson","   1841","0.1","1.2","1.5","3.7","3.2","3.4","2.1","2.2","G"
"Wandy Rodriguez","   2586","0.4","1.1","3.1","2.9","4.2","3.5","1.5","2.8","G"
"Frank DiPino","1003320","2.2","0.8","-0.9","-0.2","0.8","0.8","0.5","-0.1","A"
"Kevin Gross","1005088","0.5","1.3","3.6","1.5","0.8","2.4","1.6","2.4","F"
"Don Gullett","1005134","0.9","2.6","1","2.5","4.2","2.4","1.3","2.4","E"
"Barry Latman","1007377","0.5","1.6","1.4","1.1","0.4","-0.2","1.5","-1.1","B"
"Joe Magrane","1007973","2.9","3","4.7","3.4","0.2","0.6","-1.1","-0.2","F"
"Fritz Peterson","1010227","3.5","2.8","3.6","6.8","4.4","4.1","2.9","1.3","M"
"Bryn Smith","1012104","0.6","1.7","2.1","5.1","2.1","2.5","3.2","3.2","G"
"Zack Greinke","   1943","1.8","2","2.1","4.2","8.6","4.9","3.2","4.8","N"
"Ubaldo Jimenez","   3374","0.9","4.2","5.3","5.9","3.3","0.9","3.5","0.4","L"
"Ricky Nolasco","   3830","1.2","4.3","4.2","2.2","3.2","2.3","3.5","1.3","J"
"Paul Maholm","   8678","0.6","1.4","1.8","3.2","3.7","1.8","2","1.7","G"
"Gabe White","    360","0.4","0.2","0.2","3","-0.8","1.3","0.4","-0.3","A"
"Dave Mlicki","    569","1.3","0.8","2.4","1.3","2.7","0.8","-1.3","0.6","C"
"David Cone","   1680","0.5","5.3","3.3","5","6.5","5.2","3.9","3.8","K"
"Nelson Briles","1001432","1","1.2","2.1","2.4","3.4","0.7","1.2","3.5","D"
"Mark Gubicza","1005115","2.7","2.2","3","3.8","6.2","6.3","1.6","2.1","N"
"Melido Perez","1010183","1.5","0.8","3.4","2","5.9","2.4","2.6","0.5","N"
"Luis Tiant","1013054","2","2.8","2.5","3.7","7.4","0.5","0.5","0.9","L"
"Brad Lidge","    563","1.5","3.7","2.5","1.1","0.8","2.2","-0.8","0.4","B"
"Bud Black","1001007","0.3","1.1","4.3","3.6","0.1","1.1","0.6","3.4","F"
"Steve Farr","1003953","1","0.6","0.9","0.8","1.5","0.8","1.6","1.4","D"
"Ron Perranoski","1010201","0.9","1.7","0","0.5","0.4","0.2","0.3","0.5","A"
"J.C. Romero","    754","0.6","0.3","1.6","-0.5","1","-0.5","0","0","A"
"Blue Moon Odom","1009726","1.3","-0.1","2.7","2.9","0.2","0.1","0.9","0.8","F"
"Marty Pattin","1010074","0.1","0.2","4.3","3.4","4.6","1.8","1","2.3","G"
"Walt Terrell","1012924","1.3","1.7","4.8","0.6","3.2","1.5","1.7","0","F"
"Bartolo Colon","    375","0.7","4.4","3.8","4.3","3.9","4.4","4.7","1.4","I"
"Joe Blanton","   4849","2.2","3.2","5.3","1.8","2.1","1.8","0.6","2.5","J"
"Ray Sadecki","1011360","1.4","1.8","0.7","1.2","3.7","1.2","-0.3","4","C"
"Lee Smith","1012175","0.9","2.7","2.4","2.1","2.7","1.8","2.9","1.6","E"
"Eric Gagne","    650","0.6","0","1.3","3.6","4.7","3.4","0.9","-0.9","G"
"Glendon Rusch","    707","1.5","1.5","4.7","3.2","1.6","2.1","2.8","2.3","J"
"Kyle Lohse","    739","0.3","1.2","2.8","1","1.6","1.5","3","2.8","D"
"Felix Hernandez","   4772","2.3","3.3","3.5","3.6","7","6.8","5.3","6.6","K"
"Oliver Perez","   1514","0.6","0.4","4.5","-0.8","0.1","2.7","1.6","-0.6","F"
"Bert Blyleven","1001098","3.6","7.5","5.9","10.8","8.5","6.2","6.7","4.9","O"
"Wally Bunker","1001652","2.6","1.7","1.2","0.5","1.3","2.3","0.4","-0.1","B"
"Orel Hershiser","1005741","4","5.4","3.6","5.6","4","5.6","2.5","2.3","M"
"Anibal Sanchez","   3284","1.9","0","0.3","0.7","4.2","3.7","3.5","5.8","H"
"Jeremy Hellickson","   4371","0.5","2","0.8","1.3","0.2","1","3.3","0.2","D"
"Chris Sale","  10603","1.1","4.8","4.9","5.1","5.6","5.4","7.5","6.2","O"
"Tim Burke","1001692","0.6","0.7","2.3","-0.3","0.8","0.6","0.4","-0.2","A"
"Rich Gossage","1004894","0.5","-0.8","0.7","4","2","4.2","2.4","1","G"
"Dave Smith","1012117","1.9","1.1","-0.6","0.2","0.3","1.3","0.2","2.8","A"
"Javier Vazquez","    801","0.5","2.2","5.2","6.1","4.6","6","2","3.5","I"
"C.J. Wilson","   3580","0.3","0","0.7","-0.5","1.8","4.3","5.2","2.6","D"
"Bill Lee","1007448","-0.2","0.5","1.1","0.3","5.2","3.7","3.5","-0.2","N"
"Bruce Ruffin","1011294","2.7","2.5","0.4","0.7","0.9","2.2","-0.3","1.7","B"
"Tom Glavine","     90","0","2","2","2.9","5.4","4.6","3.3","3.6","N"
"Mark Redman","    491","2.2","0.5","4","4.2","1.4","2.1","1.2","0.3","F"
"Dennis Martinez","1008161","2.3","3.8","4.3","-0.2","2.8","1.9","0.7","0.1","J"
"Scott Schoeneweis","     33","0.3","1.7","2","0.1","1","0.9","0.9","0.2","B"
"Larry Gura","1005150","-0.2","0.7","1.1","1.8","0","1.1","3.1","1.3","D"
"Antonio Alfonseca","    260","-0.8","0.9","0.7","0.5","0.6","0.3","0.4","0","A"
"Jim Mecir","    930","0","0","1.3","1.9","1.2","0.7","0.1","0.6","C"
"Kevin Correia","   1767","0","-0.4","1","1.1","0.4","3.1","0.1","0.3","C"
"Jim Brewer","1001406","0.3","-0.5","1.1","0.2","0.8","0.2","0.8","0.7","A"
"Erik Hanson","1005333","0.9","2.4","6.6","3.5","3.1","4.9","3.1","4.1","I"
"Larry Sherry","1011883","0.2","0.8","-0.2","-0.3","0.1","0.1","0","0.1","A"
"Eddie Guardado","    727","0.5","0.3","0.3","0.4","0","0.4","-0.5","1.4","A"
"Jhoulys Chacin","   2608","2.7","2.3","0.4","4.2","0.3","1.7","2.2","2.4","E"
"Burke Badenhop","   9736","0.1","0.9","0.3","0.8","0.2","0.2","0.7","0.3","A"
"Cecil Upshaw","1013292","0.2","0.8","0.8","0.8","-0.1","0.1","0.5","-0.4","A"
"Jason Grilli","    521","-0.2","0","0.6","1","0.4","0.5","1.3","1.5","A"
"Jason Hammel","   4538","0.3","0.3","-0.2","3.5","3.2","1.1","2.6","0.6","D"
"Randy Myers","1009427","1.5","1.7","1.6","2","1.3","0.3","1.6","0.5","B"
"John Lackey","   1507","1.9","1.8","3.1","5.3","5.3","5","1.4","3.2","N"
"Matt Thornton","   1918","0.2","-0.9","0.9","0.9","1.8","2.3","2.2","1.4","D"
"Homer Bailey","   8362","0.5","-0.4","1.1","1.6","1.3","2.4","3.9","1.7","D"
"Jimmy Key","1006885","-0.4","2.8","3.4","5.6","1.6","4.6","2.4","5.3","I"
"Dale Murray","1009383","1","1.6","1.1","-0.9","0.3","-0.5","2.6","0.9","B"
"Jason Marquis","    105","1.2","0.3","0","1.8","0.7","-0.5","1.4","1.7","A"
"Ryan Vogelsong","   1011","-0.4","0.2","0","0.1","1.7","1.9","-0.7","0.9","C"
"Jerry Blevins","   7841","0.6","0.1","0.1","0.3","0.8","0.6","0.9","-0.1","A"
"Andrew Cashner","   8782","-0.6","0.4","2.6","1.8","1.9","0.4","2.4","0.6","D"
"Tom Browning","1001566","3","3.2","1.5","0.6","1.8","2.7","1.5","0.8","E"
"Frank Viola","1013435","0.9","0.1","3.5","3.9","2.9","5.4","6.3","5","K"
"Greg Swindell","     76","0.9","1.4","6.3","3.3","2.7","5.9","4.6","2","I"
"Greg Maddux","    104","0.4","1.5","3.7","3.7","5.1","5.8","7","7.5","K"
"Rafael Soriano","   1100","0.4","1.6","1.1","0.6","1.7","1.9","0.2","1","C"
"Don Aase","1000003","2.2","1.6","1.8","1.9","0.7","0.6","0.8","1.5","B"
"Jim Bunning","1001653","6.9","6.3","4.6","2.7","5.6","7.3","6.8","6.8","O"
"Greg Cadaret","1001810","-0.3","1.2","1.2","0.8","1.6","-0.4","-0.2","-0.1","A"
"Mark Gardner","1004529","2.3","0.8","1.9","-0.1","0.4","0.4","1.4","1.4","B"
"Dave Bush","   4635","1.9","1.2","3.8","2.2","1.3","0.3","-0.4","0","F"
"Sonny Siebert","1011951","2.6","5.4","3.4","2.3","2.7","2.1","3.3","4.4","J"
"Jarrod Washburn","     40","0.6","1","0.3","2.5","4.2","1.6","1.7","2","D"
"Tim Redding","    573","0.2","0.7","2.7","0.2","-0.5","0.2","1.2","0.4","A"
"LaTroy Hawkins","    729","-0.1","1.6","1.4","1.1","-0.1","1.6","2.6","1.4","D"
"Brian Meadows","    998","1.7","0.3","0.7","-0.1","0.7","0.8","0.8","0.3","A"
"Clayton Kershaw","   2036","1.3","4.1","4.5","7.4","6.2","7.3","8","8.7","O"
"Mike Hampton","    430","-0.1","2.3","2.4","3.1","2.3","4.9","4.6","1.9","I"
"Trevor Cahill","   6249","0.4","2","2.1","2.4","0.7","0.6","0.1","-0.1","B"
"Tim Leary","1007438","0.5","0.5","2.5","0.1","4.7","2.3","3","0","D"
"Bob Veale","1013391","1","1.4","6.5","8","5.3","2","2.6","6","K"
"Scott Elarton","    426","0.7","3","1.7","-0.9","-0.4","0.2","0.8","-1.1","B"
"Armando Benitez","    865","-0.3","1.7","0.4","3.1","1.5","0.3","1","0.9","C"
"Steve Trachsel","    898","1.5","0.7","1.6","1.7","1.8","2.5","2.4","2","D"
"Rich Harden","   1772","1.4","4.1","3.6","0.7","4.5","1.9","-0.6","0.4","L"
"David Hernandez","   4259","-0.6","0.8","1.1","2","-0.3","-0.1","0.3","1","A"
"Ian Kennedy","   6986","-0.2","1.6","4.4","2.3","0.4","2.8","0.4","1.9","F"
"Don McMahon","1008629","-0.7","0.2","0.9","-0.5","0.8","0.1","0.1","0.3","A"
"Pat Zachry","1014407","3.6","1.2","1.4","0.2","0.9","0.6","0.7","0.3","B"
"Wayne Granger","1004945","0.2","0.8","0.4","0.1","0","-0.1","-0.6","-0.4","A"
"Joe Hesketh","1005747","0.8","3.3","0.7","1.2","-0.1","0.2","1.3","1.9","B"
"Matt Young","1014385","3.3","1.3","3.5","1.7","1.1","-0.1","3.7","1.4","J"
"Barry Zito","    944","2.1","4.8","4.5","4.4","3.1","3","2.2","1.6","M"
"Mike Timlin","   1187","1.5","0.7","0.2","0.2","1.3","1.4","0.6","1.8","C"
"Ryan Madson","   1852","1.3","0.8","0.9","0.4","1.2","1.2","1.2","1.8","D"
"Jim Beattie","1000731","1.4","0.7","1","1.7","4.2","4.5","4.1","0.6","N"
"Pedro Borbon","1001195","-0.2","0.7","1.2","0.6","0.8","1","1.3","0.2","A"
"Jeff Brantley","1001358","-0.1","1.4","-0.2","0.3","-0.6","1","0.2","1.2","A"
"Mark Eichhorn","1003712","0.4","4.9","0.8","0","0.5","2.1","1.9","1.6","E"
"Jack McDowell","1008473","1.4","2.9","5.2","4.8","5.2","4.9","3.5","3.5","I"
"Bill Monbouquette","1009048","4.6","4.1","5.2","5.4","3","2.8","0.7","2.1","M"
"Dave Stieb","1012532","1.6","4.3","2.9","4.8","5.1","5.6","4.5","0.8","I"
"Heath Bell","   2080","0.7","0.1","2.5","1.2","2.2","2.3","0.9","0.4","C"
"Rick Aguilera","1000086","2","1.6","1.6","3.6","1.3","1.5","0.8","1","F"
"Dick Ruthven","1011330","1.4","3.4","0.4","3.9","2.1","3.4","1.6","3.2","E"
"Rodrigo Lopez","    150","2.9","1.3","2.7","2","1.7","0.9","0.4","-0.2","F"
"Scott Downs","    773","1","0.4","1","0.5","1.1","1","0.8","1.1","A"
"Trevor Hoffman","   1035","0.4","1.6","0.1","2.9","2.3","3.1","2.2","2.6","E"
"Wilson Alvarez","   1193","-0.2","-0.6","2.7","2.8","1.5","4.2","3.8","1.3","G"
"Jim Acker","1000030","0.3","0.6","-0.1","1.5","0.2","-0.3","1.9","0.3","A"
"Gene Garber","1004493","1","-0.1","0.4","1.8","2.3","1.2","1.1","0.9","C"
"Bruce Hurst","1006222","0","0.4","2.6","1.8","3.3","4.2","3.5","3.8","H"
"Mark Leiter","1007501","1.3","1.5","0.3","0.7","2.5","0.6","1.8","0.3","C"
"Tippy Martinez","1008200","-0.4","0.4","0.3","0.5","2.2","1.6","0.6","1.8","C"
"Jason Christiansen","   1111","0.1","-0.2","0.4","1.7","0.5","0.9","0.1","-0.6","A"
"Javier Lopez","   1663","0.7","0.2","0.1","0.1","0.5","0.4","0.5","0.7","A"
"Scott Feldman","   6283","0.3","-0.4","0.6","2.9","1.2","0.2","2.3","2.2","D"
"Larry Dierker","1003288","1.8","2.4","2.1","1.9","7.3","3.6","3.3","3.3","N"
"Larry Jackson","1006304","6.1","4","4.1","6.6","5.9","2.9","2.3","3.9","M"
"Dave Righetti","1010958","3.5","2.9","5.4","2.6","2.7","3","1.2","1.4","J"
"Bob Stanley","1012409","1.7","2.3","4","2.5","0.3","2","2.3","1.1","F"
"Chad Durbin","   1442","0","1.4","-0.4","-0.2","1","-0.4","0.2","-0.2","A"
"Odalis Perez","    668","0.9","1.7","4.9","2.2","2.9","1.6","1.3","1.1","F"
"Dennis Leonard","1007531","2.4","3.8","7.9","4.7","2.5","3.5","3.7","0.3","M"
"Colby Lewis","   1259","-0.1","0.1","-0.3","4.9","2.1","2.2","1.2","2.6","G"
"Ray Burris","1001729","1.4","0.3","2.4","2.8","2.1","1.8","0.1","0.6","F"
"Roy Face","1003891","0.7","0.7","0.8","0","-0.3","0.3","0.2","0.4","A"
"Mike Moore","1009122","0.4","2.4","4.2","5.9","3.7","3.1","4.6","4.4","I"
"Mark Thurmond","1013052","1.6","1.5","1.6","0.4","0.3","-0.4","0.7","-0.3","B"
"Bob Walk","1013507","2","-0.3","0.8","1.3","0.2","1.1","3.2","1.5","D"
"Brett Tomko","   1056","1.5","3.6","1.4","0.5","-0.5","1.3","1","2.7","B"
"Jack Billingham","1000970","0.3","-0.2","3.7","4.1","2.5","3.7","3","0.5","G"
"Bill Campbell","1001874","0.6","2.2","0.7","1.7","1.7","1.8","0.2","0.2","C"
"Gary Peters","1010228","6.5","4.3","0.7","4.2","4.6","2.6","3.2","4.1","M"
"Joaquin Benoit","   1437","0.7","-0.1","1","1.5","1.2","1.8","-0.2","1.7","C"
"Jamie Easterly","1003639","0.4","0.4","-0.4","0.5","-0.5","0.3","1.1","0.3","A"
"Ramon Martinez","1008193","0.4","0.8","4.9","2.9","1.1","1.9","1.9","2.2","F"
"Dennis Rasmussen","1010703","1.7","1.2","1.8","1.1","2.4","0.8","0.3","1.7","C"
"Bob Welch","1013750","2.4","1","2.9","1.9","3.3","3.7","2.8","2.1","G"
"Bob Wickman","    413","0.7","0.9","1.6","0.8","0.6","1.1","1","0.8","A"
"Jim Abbott","1000012","2.5","2.8","5.5","4.4","2.3","1.3","3.5","0","J"
"Norm Charlton","1002160","0.6","1.4","2.4","1.9","1.5","0.8","1.5","1.2","F"
"Mark Clark","1002296","0.2","0.5","1.6","1.8","3.7","2.2","4.1","-0.1","D"
"Josh Beckett","    510","1.9","4","3.3","4.2","1","5.7","4.3","4.3","I"
"Arthur Rhodes","   1097","0.1","2","-0.4","0.5","0.2","1","1.9","1","A"
"Steve Kline","   1164","-0.6","0.8","0.6","1.1","1.2","0.7","-0.1","0.6","A"
"Ismael Valdez","   1283","3.8","4.4","3.9","2.2","2.2","0.4","2","2.4","J"
"J.P. Howell","   8245","0.2","0.7","0.4","1.5","0.7","-0.5","-0.4","0.9","A"
"Rick Camp","1001901","0.3","0","1.1","1.4","0.8","0.8","1.2","-0.3","A"
"Mark Langston","1007323","4.4","-0.7","4.1","6.4","4","4.8","4.6","3","I"
"Tim Stoddard","1012556","1.3","1.8","-0.5","0.5","-0.6","0","0.1","-0.4","A"
"Gene Nelson","1009501","-0.3","0.9","-0.4","0.6","0","1.4","1.8","0.5","A"
"Fred Gladding","1004751","0.5","0","0.5","0.9","0.5","0.7","0","0.4","A"
"Mark Hendrickson","   1574","0.8","1.7","2.2","1.6","2.1","1.6","1","0.3","C"
"Carlos Marmol","   2790","-0.4","1.7","1.4","0.8","2.7","0.6","0.1","-0.6","C"
"Darold Knowles","1007058","0.9","0.6","0.9","0.2","0.8","0.6","0","-0.2","A"
"Gregg Olson","1009791","2","1.8","2.2","1.6","1.5","0","-0.2","0.3","B"
"Joe Price","1010530","0.4","0.8","0.4","2","1.8","0.3","-0.1","0.3","C"
"Chris Short","1011931","0.4","0.7","1.1","3.4","5.6","6.5","3.3","3.4","N"
"Bobby Witt","1014170","0.8","1.7","2.4","2.5","5","0.9","1.3","3.2","G"
"Michael Gonzalez","   1794","1.6","0.9","1.3","0.1","0.8","0.2","0.6","-0.6","B"
"Jesse Crain","   4817","-0.1","0.9","0.5","0.2","0.7","0.8","0.8","1.9","A"
"Stan Belinda","1000792","0.6","-0.3","-0.3","1","0","1.2","1.2","0.3","A"
"Andy Hawkins","1005514","0.2","1.1","0.2","2","1.3","0.3","1.5","1.1","C"
"Mark Melancon","   4264","0.8","-0.2","2.5","1.9","1.4","1.8","0.4","0.3","F"
"Jim Corsi","1002644","0.3","0.3","0.2","0.3","0.5","1.2","0.6","-0.5","A"
"Dave McNally","1008655","1.2","1.4","2.3","3","0.7","4.5","4.7","4.9","H"
"Brad Penny","    535","1.2","4.6","1","3.1","3","3.5","3.6","4.4","H"
"Sterling Hitchcock","    824","0.4","0.8","2","2.7","0.7","1.5","3","0.4","D"
"David Weathers","    902","0.9","1","0.4","0.4","1.9","0.1","0.5","1.1","A"
"Marco Estrada","   1118","0.6","2.9","1.4","-0.3","1.9","2.8","2.5","0.3","E"
"Darryl Kile","   1163","0","0.8","2.4","0.8","1.7","3.7","4","3.2","H"
"Ken Holtzman","1005989","3","0.2","2.3","5.1","5.8","3.6","2.7","5","N"
"Rob Murphy","1009374","0.8","2.1","1.2","1.9","-0.6","0.3","0.5","-0.1","B"
"Rick Sutcliffe","1012734","2.7","-0.4","-0.3","3.5","3","6","2.4","1.5","G"
"Todd Stottlemyre","     75","-0.2","1.2","2.7","2.6","1.4","3","2","4.1","H"
"Mike Mussina","    837","1.7","5.3","2.8","3.4","5.1","5.3","5.4","5.1","K"
"Alan Embree","   1030","-0.6","0.9","0","0.5","0.6","-0.3","1.6","0.8","A"
"Rod Beck","   1730","0.4","2.7","1.4","-0.3","0","0.4","1.1","1.1","B"
"David Robertson","   8241","0.2","0.7","0.8","2.3","1.5","1.3","1.4","1.7","D"
"Steve Mingori","1008978","0.8","-0.1","-0.1","0.7","0.4","0.8","0.3","0.3","A"
"Elmer Dessens","    317","0.1","3","2.2","1.6","2.2","0.8","0.5","0.6","B"
"Shawn Estes","    873","1.3","3.6","1.8","2.4","3","2.1","1.5","0.6","E"
"Tim Lincecum","   5705","3","7.2","7.5","4.3","3.5","0.9","1.4","0","M"
"Tony Sipp","   8280","0.3","-0.6","0.2","0","-0.3","0.8","0.9","-0.8","A"
"Joe Gibbon","1004658","1.3","4.2","0.5","2.5","1.7","1.3","1.5","1.1","E"
"Curt Young","1014368","1.1","-1.2","2.8","1.5","0","0.4","-0.2","-0.7","A"
"Charles Nagy","    397","0","3.2","7","0.6","3.5","3.2","5.4","2.9","I"
"John Thomson","    453","3.3","2.6","0.2","1.4","2.3","3.9","3.2","2","E"
"Danny Frisella","1004365","0.6","0.4","0.6","1.3","0","-0.2","-0.2","-0.2","A"
"Doug Henry","1005668","0.8","0.6","-0.2","-0.7","0.5","0.1","0.5","-0.4","A"
"Randy Jones","1006582","1.7","2.5","4.3","4.6","1.5","4.1","3.6","1.2","I"
"Jake Arrieta","   4153","0.8","-0.1","1.6","0.2","5.3","7","3.4","2.5","N"
"Tom Candiotti","1001911","0.6","0.2","4.3","1.3","4.5","4.4","2.3","5.8","H"
"Dick Ellsworth","1003754","2.3","2.2","2.2","6.6","1.7","3","4","1.1","G"
"Mike Remlinger","    111","-0.2","-0.4","2.2","1.1","1","1","1.5","1.5","D"
"Jesse Orosco","    667","-0.3","1.3","2.2","1","0.9","0.4","1.6","-0.4","B"
"Francisco Rodriguez","   1642","0.6","3.7","1.5","2.4","1.9","1.5","0.7","1.5","E"
"Dock Ellis","1003747","0.7","4.2","3.4","3.7","3.9","4.4","3","1.9","I"
"Alex Fernandez","1003993","1.4","2.7","1.8","4.1","2.4","4.5","4.7","3.3","I"
"Mike Flanagan","1004133","0.6","4.4","4.5","6","2.9","1.5","2.7","1.8","L"
"Rick Honeycutt","1005992","1.5","2.2","2.5","1.5","0.9","2.8","1.9","1.5","E"
"Mitch Williams","1014025","-0.5","0.6","0.1","-0.5","0","0","-0.7","0.3","A"
"Tim Belcher","1000789","0.8","4.1","3.3","1.5","4.1","3.1","3","1.2","J"
"Steve Carlton","1001964","0.9","4.4","4","4.9","3.6","3.1","11.1","4.5","K"
"Jim Kaat","1006660","-0.3","3.8","5.4","1.9","4.7","4.3","6.4","6.4","K"
"Eric Plunk","1010400","-0.5","1.1","0.8","0","0.2","-0.1","0.3","1.5","A"
"Bill Singer","1012007","4.7","4.2","6.1","2","2","2.3","6.2","2.6","M"
"Ray Washburn","1013652","1.9","1.5","0.3","1.3","2.3","2.3","3.7","1.7","D"
"Shawn Chacon","    424","1.3","-0.4","2.2","-1.1","1.5","-1.1","0.5","-0.1","A"
"Braden Looper","    526","0.5","0.1","0.1","0.5","1.2","1.7","-0.6","1.1","A"
"Juan Nicasio","   7731","1.3","0.9","2.1","-0.3","0.8","1.4","1.5","0.8","B"
"Joaquin Andujar","1000266","0.9","1.2","0.6","1.3","1.1","0.6","5.5","1.6","D"
"Andy Messersmith","1008799","1.3","5","2.3","3.5","3.5","3.2","5.6","5.9","K"
"Dwight Gooden","1004852","8.3","8.9","4.8","4.5","6","1.8","6.8","4","M"
"Matt Clement","    271","2.1","1.6","1.8","4.7","2.9","3","2.6","0.2","G"
"Kyle Farnsworth","    278","-0.4","-0.3","2","-0.4","1.2","0.3","1.5","1.1","A"
"Ricardo Rincon","    401","1.1","0.7","0","1","1.4","0.3","0.9","-0.5","A"
"Doug Brocail","    551","1","-0.2","-0.2","0.4","1.7","1.8","0.8","0.8","C"
"Randy Wolf","    976","0.8","2.9","3.4","3.9","2.5","1.7","0.7","-0.1","L"
"Derek Holland","   4141","0.6","0.9","3.2","1.5","4.5","1.3","-0.1","1.1","C"
"Gio Gonzalez","   7448","-0.7","1.1","3.2","3.3","5","3.2","3.2","3.6","N"
"Stu Miller","1008935","0.6","2.2","0.7","1.6","1.1","2.3","1.2","0.3","C"
"Mark Davis","1003067","-0.3","0.5","0.4","1.5","1.6","0.8","2.8","2.2","D"
"Joe Horlen","1006025","1.4","0.7","4.5","4","3.1","3.5","1.6","3.5","G"
"Paul Byrd","    594","-0.3","-0.1","0.8","0.5","-0.1","1.4","3.1","1.7","D"
"Mike DeJean","    682","0.7","0.7","-0.7","-0.1","0.8","0.4","-0.4","0.7","A"
"Jon Lester","   4930","1","0.2","4.2","5.4","5","2.6","2.4","3.3","G"
"Stan Bahnsen","1000414","4.4","1","2.3","2.2","3.2","3.3","1.1","1.7","E"
"Denny Lemaster","1007512","0.8","1.4","1.9","1.8","2","2.3","2.7","3.8","H"
"Steve Trout","1013197","2.1","3.2","1.8","1.5","2.4","3.4","1.3","2","E"
"Danys Baez","    367","0.7","2.2","0.8","0.5","0.4","0.9","-0.9","0.1","B"
"Mike Williams","   1014","0.2","0.1","0.5","0.4","1.6","0.3","0.4","0","A"
"Max Scherzer","   3137","1.1","2.7","4","2.3","4.5","5.9","5.6","6.4","K"
"Doug Bird","1000976","1.1","1.5","1.6","2.8","1.4","0.8","0","0.4","C"
"Keith Foulke","    231","0","0.4","2.9","2.5","2.6","1.3","1.8","1.6","D"
"Mariano Rivera","    844","0.3","4.3","2","1.2","2.1","1.9","3.2","1.4","E"
"Jonathan Papelbon","   5975","0.3","3.1","2.1","2.8","1.9","1","3","1.4","D"
"Mudcat Grant","1004952","-0.7","1.6","0","1.6","1.7","3","3.6","1.1","D"
"Cecilio Guante","1005113","0.9","0.1","1.5","-0.2","0.1","0.1","0.2","-0.8","A"
"Rick Langford","1007319","3.5","2.1","3.1","3.4","2.5","1.7","0","-0.4","L"
"Vern Law","1007410","4.2","0","1.3","0.1","2.3","3.4","2.3","1.4","E"
"Fred Norman","1009632","-0.9","-0.5","1.1","2.2","1.6","3.2","0.6","2.7","D"
"Bill Swift","1012788","1.9","1.5","1.8","1.5","2.6","1.6","2.7","4.5","H"
"Mark Buehrle","    225","0.6","4","4.3","4.3","4.5","5.9","1.7","3.3","I"
"Jose Rijo","    349","0.6","1.3","1.7","0.8","3.8","2.1","4.5","6.1","H"
"Scott Sullivan","    357","0.8","0","0.7","0.9","1","-0.2","0.5","0.1","A"
"Jeremy Bonderman","   1667","1.3","2.4","3.2","5.6","2.8","0.3","0.9","-0.2","L"
"Joe Smith","   3281","0.2","0.3","0.2","-0.2","1.3","0.8","0.5","0.9","A"
"Jim Bibby","1000945","0.3","1.9","1.9","2.6","2.5","3.8","1","2.5","E"
"Lew Krausse","1007146","0.4","2.7","0.4","1","-0.3","1.4","0.4","-0.4","B"
"Mike Maddux","1007951","0.7","0.7","0.4","1.4","1.5","1.1","-0.1","2.1","C"
"Juan Berenguer","1000865","0.6","-0.3","1.5","2.2","0.9","0.8","2.3","0.8","D"
"Scott Garrelts","1004546","-0.1","-0.8","2.1","1.5","1.8","1.3","3.8","1.1","D"
"Dick Hall","1005241","1.9","2.7","2.2","1.1","0.7","1.6","0.3","0.9","B"
"Johan Santana","    755","0","0","3.4","3.7","6.8","7.1","6.7","4","K"
"Trever Miller","   1672","0.1","-0.4","0","0.9","-0.3","0.6","0.1","0.6","A"
"Johnny Cueto","   6893","1","1.4","2.5","3","4.3","0.7","4.5","4.1","H"
"Jim Deshaies","1003228","1.4","0.8","1","2.7","0.8","0.1","1.1","1","C"
"Ross Grimsley","1005071","1","1.4","1.6","4.2","0.9","1.1","0.7","2.7","F"
"Adam Eaton","   1029","1.6","1","0.1","2.5","2.4","1.7","0.4","-0.1","C"
"Steve Blass","1001058","0.6","1.8","0.4","2.6","1.6","3","3.6","2.2","D"
"Jerry Johnson","1006464","0.3","0.3","0.1","0.3","0.3","-0.2","0.2","-0.3","A"
"Tommie Sisk","1012018","0.7","-0.2","1","0.6","2.3","0.4","0.4","-0.2","C"
"Tom Gordon","    282","2.4","2.5","1.6","1","2.5","2.2","3.5","2.8","E"
"R.A. Dickey","   1245","1.3","0.6","-0.1","-0.4","2.8","2.6","4.6","1.9","D"
"Joel Peralta","   2332","0","0.6","0.8","-0.8","0.7","1","0.9","0.4","A"
"Rudy Seanez","   1279","-0.3","0.9","1","0.2","0","0.9","1.5","-0.2","A"
"Fergie Jenkins","1006388","1.8","4.5","6.3","8.2","9.5","9.6","4.8","4.2","O"
"Don Sutton","1012745","4.7","3","4","3.9","1.9","7.1","6.8","6","K"
"Cory Lidle","    926","0.7","1","2.6","3.7","2.3","2.7","3.6","1.2","G"
"Jose Mesa","    961","-0.1","0.5","0.8","0.9","2.9","1.7","2.1","1.4","D"
"Matt Garza","   3340","0.6","1.1","3.3","2.8","2.1","4.7","0.9","2.1","G"
"Bobby Bolin","1001146","-0.4","0.6","1.4","1.4","1.6","1.9","-0.6","2.6","C"
"Steve Hamilton","1005277","1.7","1.1","0.8","1.3","0.7","0","1.1","-0.1","B"
"Atlee Hammaker","1005281","0.3","2.6","4.6","0.7","2.2","1.4","0.8","0.4","F"
"Don Robinson","1011061","3.4","2.5","2.1","-0.5","1","0","2","0.8","B"
"CC Sabathia","    404","2.7","3.6","3.5","2.8","3.6","5","6.4","7.4","K"
"Joe Sambito","1011392","0.3","1.2","1.8","1.4","2.2","0.2","-0.2","0.3","C"
