"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","Cluster"
"Jeff Suppan","    633","1.5","0.5","2.8","1.9","2.5","1.3","2.7","1.4","1.8","1.9","B"
"Jim Lonborg","1007724","2.5","2.8","5.7","0.2","1.8","0.7","1.9","2.3","0.8","4.4","G"
"Jim Slaton","1012054","0.1","0","2.4","2.1","0.8","4.1","1.5","1.3","3.5","0.4","H"
"Andy Benes","   1144","0.9","2.9","3.6","4.7","3.5","4.2","3.3","2.4","5.1","3.3","F"
"Huston Street","   8258","1.7","2.3","1.4","1.1","1.5","0.8","0.4","1.1","-0.8","1","C"
"Clay Carroll","1001997","-0.1","1.5","0.2","1","0.6","1.4","0.2","0.4","0.4","1.8","A"
"Andy Pettitte","    840","3.2","4.6","7.2","3.2","2.6","3.9","5.8","3.9","5.1","1.9","N"
"Burt Hooton","1006005","4.1","5.3","2.4","3.9","3.1","5.2","3.3","4.4","1.8","3.3","N"
"David Wells","    855","-0.9","1.8","3.8","2.5","0.4","3","2.3","3.7","3.4","4.3","F"
"Rick Reuschel","1010852","4.2","6.1","4.7","4.7","4.8","6.5","4.5","3.9","4.7","3","N"
"Mike Jackson","    732","0","0.7","0.6","0.1","1.5","0.4","0.9","1.1","0.3","0.7","A"
"Doug Davis","   1244","0.5","3.6","0.6","0.7","4.4","3.7","2.8","2.2","2.3","1","E"
"Adam Wainwright","   2233","1.2","3.7","2.4","5.2","5","3.9","6.2","5","2.7","1.4","L"
"Vida Blue","1001094","-1.1","1.5","8.8","2.1","2.1","5.5","5.1","7.6","4.9","5.6","J"
"Dean Chance","1002130","3.5","4.8","7.6","3.2","2.9","6.9","7.7","1.3","1.7","1","K"
"Joe Nathan","   1122","-0.3","-0.1","1.2","3","2.6","3.1","2","1.9","1.8","-0.1","H"
"Bob Ojeda","1009756","0.5","0.2","1.8","2.8","3.1","4.2","0.5","5.1","1","0.7","E"
"Jim Rooker","1011183","2.2","2.9","0.8","1.2","2.9","5.4","1.9","2.2","1.6","0.8","H"
"Tim Worrell","   1139","0.6","1.9","-0.2","1","0.7","0.3","0.9","1","1.4","1.1","A"
"Guillermo Mota","   1467","0","0.2","-0.3","0.4","2.1","1.3","0.6","-0.3","0.2","0.1","A"
"Bob Forsch","1004233","1.3","3","0.4","2","1.8","2.8","3.5","1.4","2.1","-0.1","C"
"Dan Spillner","1012342","1","1.5","-0.4","-0.5","1.3","1.4","1.4","1.6","2.6","0.3","D"
"Jordan Zimmermann","   4505","1.9","-0.3","3.1","3.3","3.8","5.4","3","1.4","1.3","0.9","H"
"Jonathan Broxton","   4759","1.4","1.9","2","2.6","1","1.1","-0.3","0.7","0.2","0.1","C"
"Yovani Gallardo","   8173","2.6","2.7","3.6","2.7","2","1.5","1.6","2.5","0.6","0.1","G"
"Dave Stewart","1012519","0.3","0.4","1.7","0.5","-0.1","1.5","4.8","5.1","3.2","4.9","F"
"Derek Lowe","    199","0.4","2.4","2.2","2.4","1.6","4.6","2.4","2.2","2.8","4.4","F"
"Dan Miceli","   1463","0.1","-0.6","0.3","1.1","0.2","0.8","0.3","-0.1","1.1","-0.3","A"
"Chris Young","   3196","0.5","3.4","2.2","4.3","1.5","0.1","1.1","-0.1","1","-1.2","C"
"J.A. Happ","   7410","0.4","1.6","1","0.7","1.8","1","1.2","3.2","2.9","2.8","E"
"Dennis Lamp","1007284","0.2","2.9","3.3","1.4","2.3","3.4","1.7","0","2","0.5","G"
"Mike Marshall","1008144","0","0.9","0.8","0.3","1.8","1.6","4.4","0.4","0.4","0.8","D"
"Jon Matlack","1008246","0.5","4.9","4.7","7.5","4.4","4.4","2.6","6.8","1.2","5.2","L"
"Joe Hoerner","1005895","0.9","0.4","0.7","0.4","0.4","0.7","0","0.4","0.1","-0.6","A"
"Mike McCormick","1008420","5.1","2.5","-1","-0.1","1.9","2","2","1.5","0.3","-0.8","C"
"Rick Waits","1013494","1.3","1.4","1.5","2.8","1.7","3","1.9","0.4","0.6","0.6","B"
"Wilbur Wood","1014248","0.2","0.4","1.3","1.3","0.4","1.9","8.7","6.1","7.4","4.7","J"
"Paul Quantrill","    669","0.7","1.2","-0.1","2","0.3","1.9","1.6","0.2","0.9","1.7","D"
"Gil Meche","   1089","0.4","1.5","1.5","1.1","0.5","1.9","3.7","4.2","1","-0.3","D"
"Francisco Liriano","   3201","3.6","1.4","0.7","5.6","0.6","1.5","3.1","1.6","3.3","0.5","I"
"Bob Gibson","1004662","1.1","3.9","6","4.4","5.8","5.1","6","4.3","8.6","8.8","J"
"Neal Heaton","1005568","0.4","2.4","1.3","2","0.9","2.3","-1","0.4","0.9","-0.1","C"
"Bill Krueger","1007175","1.2","0.8","0.9","-0.1","0.8","0.8","2","1.9","1.4","0.6","D"
"Phil Regan","1010785","0.3","0.4","1.3","0.3","1","0.4","1.6","0.7","0.4","1","A"
"Jason Vargas","   8044","1.7","-0.6","0.5","3.4","2.7","1.5","1.7","2.3","0.4","1.9","B"
"John Candelaria","1001909","2.6","2.5","2.9","2.7","2.2","4","0.4","3.7","4.5","3.3","F"
"Bruce Chen","    769","-0.1","1.7","0.5","-0.2","0.6","1.6","-0.7","0","1.2","1.4","A"
"Ken Forsch","1004234","4.1","0.8","2.6","1","0.7","0.5","1.5","2.4","1.8","2.4","C"
"Ted Lilly","    833","0.8","1.3","3.1","3","0.5","2.1","3.8","2.8","3.7","2.5","F"
"Carlos Villanueva","   4138","0.5","0.4","0.7","0.5","0.1","1.3","0.6","1.2","1.3","0.2","A"
"Cole Hamels","   4972","2.6","3.9","4.7","3.7","3.6","5.1","4.6","4.6","4.5","4.5","J"
"Andy Hassler","1005480","0.4","1.1","1.1","1.5","2.2","1.7","0.9","0.6","-0.2","0","B"
"Dan Schatzeder","1011527","0.5","1.3","2.1","-0.5","0.2","1.1","1.3","0.8","-0.4","0","A"
"Pete Schourek","1011608","0.5","1.3","0.9","0.7","4.2","1","-0.4","0.8","0.4","0.8","B"
"Livan Hernandez","   1116","1.9","0.4","2.9","4.5","2.3","2.7","4.4","4.4","2.4","2","M"
"Kevin Millwood","    106","1.3","3.4","5.5","4","0.9","4.6","4.7","2.9","3.4","4.3","F"
"Edwin Jackson","   1841","0.1","1.2","1.5","3.7","3.2","3.4","2.1","2.2","0.7","0","H"
"Wandy Rodriguez","   2586","0.4","1.1","3.1","2.9","4.2","3.5","1.5","2.8","0.3","0.9","H"
"Kevin Gross","1005088","0.5","1.3","3.6","1.5","0.8","2.4","1.6","2.4","0.9","3.4","D"
"Fritz Peterson","1010227","3.5","2.8","3.6","6.8","4.4","4.1","2.9","1.3","1.5","1.2","L"
"Bryn Smith","1012104","0.6","1.7","2.1","5.1","2.1","2.5","3.2","3.2","2.4","2.4","I"
"Zack Greinke","   1943","1.8","2","2.1","4.2","8.6","4.9","3.2","4.8","3.5","4.5","L"
"Ubaldo Jimenez","   3374","0.9","4.2","5.3","5.9","3.3","0.9","3.5","0.4","2.6","1.6","I"
"Ricky Nolasco","   3830","1.2","4.3","4.2","2.2","3.2","2.3","3.5","1.3","0.8","2.8","K"
"Paul Maholm","   8678","0.6","1.4","1.8","3.2","3.7","1.8","2","1.7","0.5","-0.5","B"
"David Cone","   1680","0.5","5.3","3.3","5","6.5","5.2","3.9","3.8","4.5","2.2","L"
"Nelson Briles","1001432","1","1.2","2.1","2.4","3.4","0.7","1.2","3.5","2.7","1.3","E"
"Mark Gubicza","1005115","2.7","2.2","3","3.8","6.2","6.3","1.6","2.1","2.1","2.3","L"
"Luis Tiant","1013054","2","2.8","2.5","3.7","7.4","0.5","0.5","0.9","3.6","5","I"
"Bud Black","1001007","0.3","1.1","4.3","3.6","0.1","1.1","0.6","3.4","2.4","0.8","G"
"Steve Farr","1003953","1","0.6","0.9","0.8","1.5","0.8","1.6","1.4","1.1","-0.7","A"
"Ron Perranoski","1010201","0.9","1.7","0","0.5","0.4","0.2","0.3","0.5","1.2","0.8","A"
"J.C. Romero","    754","0.6","0.3","1.6","-0.5","1","-0.5","0","0","-0.2","-0.5","A"
"Blue Moon Odom","1009726","1.3","-0.1","2.7","2.9","0.2","0.1","0.9","0.8","0.3","0.2","B"
"Marty Pattin","1010074","0.1","0.2","4.3","3.4","4.6","1.8","1","2.3","1.4","0.3","H"
"Walt Terrell","1012924","1.3","1.7","4.8","0.6","3.2","1.5","1.7","0","2.7","0.6","G"
"Bartolo Colon","    375","0.7","4.4","3.8","4.3","3.9","4.4","4.7","1.4","4.1","0.3","K"
"Joe Blanton","   4849","2.2","3.2","5.3","1.8","2.1","1.8","0.6","2.5","-0.4","1.1","G"
"Ray Sadecki","1011360","1.4","1.8","0.7","1.2","3.7","1.2","-0.3","4","4.6","0.7","E"
"Lee Smith","1012175","0.9","2.7","2.4","2.1","2.7","1.8","2.9","1.6","1.5","2.4","I"
"Glendon Rusch","    707","1.5","1.5","4.7","3.2","1.6","2.1","2.8","2.3","-0.9","1.1","G"
"Kyle Lohse","    739","0.3","1.2","2.8","1","1.6","1.5","3","2.8","0.7","0.5","D"
"Felix Hernandez","   4772","2.3","3.3","3.5","3.6","7","6.8","5.3","6.6","6.1","5.6","J"
"Oliver Perez","   1514","0.6","0.4","4.5","-0.8","0.1","2.7","1.6","-0.6","-1.1","0.8","A"
"Bert Blyleven","1001098","3.6","7.5","5.9","10.8","8.5","6.2","6.7","4.9","5.2","3.4","O"
"Orel Hershiser","1005741","4","5.4","3.6","5.6","4","5.6","2.5","2.3","3","1.1","N"
"Anibal Sanchez","   3284","1.9","0","0.3","0.7","4.2","3.7","3.5","5.8","3.3","1.3","E"
"Rich Gossage","1004894","0.5","-0.8","0.7","4","2","4.2","2.4","1","3.2","1.4","H"
"Dave Smith","1012117","1.9","1.1","-0.6","0.2","0.3","1.3","0.2","2.8","0.9","0.7","A"
"Javier Vazquez","    801","0.5","2.2","5.2","6.1","4.6","6","2","3.5","4.7","4.8","L"
"C.J. Wilson","   3580","0.3","0","0.7","-0.5","1.8","4.3","5.2","2.6","2.9","0.5","D"
"Bill Lee","1007448","-0.2","0.5","1.1","0.3","5.2","3.7","3.5","-0.2","1.2","0.7","H"
"Bruce Ruffin","1011294","2.7","2.5","0.4","0.7","0.9","2.2","-0.3","1.7","0.7","0.5","C"
"Tom Glavine","     90","0","2","2","2.9","5.4","4.6","3.3","3.6","4.3","5.3","F"
"Dennis Martinez","1008161","2.3","3.8","4.3","-0.2","2.8","1.9","0.7","0.1","0","1","G"
"Scott Schoeneweis","     33","0.3","1.7","2","0.1","1","0.9","0.9","0.2","-0.4","-0.4","A"
"Larry Gura","1005150","-0.2","0.7","1.1","1.8","0","1.1","3.1","1.3","4.1","2.7","D"
"Kevin Correia","   1767","0","-0.4","1","1.1","0.4","3.1","0.1","0.3","0.9","1.5","A"
"Jim Brewer","1001406","0.3","-0.5","1.1","0.2","0.8","0.2","0.8","0.7","1.1","0.6","A"
"Erik Hanson","1005333","0.9","2.4","6.6","3.5","3.1","4.9","3.1","4.1","3","-0.5","K"
"Eddie Guardado","    727","0.5","0.3","0.3","0.4","0","0.4","-0.5","1.4","1.2","1.4","A"
"Jason Grilli","    521","-0.2","0","0.6","1","0.4","0.5","1.3","1.5","0.3","1.3","A"
"Jason Hammel","   4538","0.3","0.3","-0.2","3.5","3.2","1.1","2.6","0.6","1.8","2.3","B"
"Randy Myers","1009427","1.5","1.7","1.6","2","1.3","0.3","1.6","0.5","0.4","1.3","C"
"John Lackey","   1507","1.9","1.8","3.1","5.3","5.3","5","1.4","3.2","3.4","0.9","L"
"Matt Thornton","   1918","0.2","-0.9","0.9","0.9","1.8","2.3","2.2","1.4","1.3","0.1","D"
"Homer Bailey","   8362","0.5","-0.4","1.1","1.6","1.3","2.4","3.9","1.7","0.8","-0.1","D"
"Jimmy Key","1006885","-0.4","2.8","3.4","5.6","1.6","4.6","2.4","5.3","2.7","5.2","F"
"Jason Marquis","    105","1.2","0.3","0","1.8","0.7","-0.5","1.4","1.7","3.2","-0.5","A"
"Ryan Vogelsong","   1011","-0.4","0.2","0","0.1","1.7","1.9","-0.7","0.9","0","0.1","A"
"Tom Browning","1001566","3","3.2","1.5","0.6","1.8","2.7","1.5","0.8","1.2","0","C"
"Frank Viola","1013435","0.9","0.1","3.5","3.9","2.9","5.4","6.3","5","5.8","2.5","J"
"Greg Swindell","     76","0.9","1.4","6.3","3.3","2.7","5.9","4.6","2","1.2","1","K"
"Greg Maddux","    104","0.4","1.5","3.7","3.7","5.1","5.8","7","7.5","7.4","7.9","J"
"Rafael Soriano","   1100","0.4","1.6","1.1","0.6","1.7","1.9","0.2","1","0.5","0.7","A"
