Name,playerid,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10
Gregg Olson,1009791.0,D,B,B,B,C
Joe Price,1010530.0,E,C,C,B,A
Chris Short,1011931.0,M,L,N,J,L
Bobby Witt,1014170.0,I,F,G,K,E
Stan Belinda,1000792.0,A,A,A,A,A
Andy Hawkins,1005514.0,E,D,C,B,A
Dave McNally,1008655.0,G,G,H,C,M
Brad Penny,535.0,H,G,H,H,M
Sterling Hitchcock,824.0,F,D,D,F,B
David Weathers,902.0,A,C,A,A,A
Darryl Kile,1163.0,G,K,H,D,E
Ken Holtzman,1005989.0,M,L,N,J,L
Rick Sutcliffe,1012734.0,G,F,G,C,H
Todd Stottlemyre,75.0,F,E,H,C,E
Mike Mussina,837.0,J,N,K,N,J
Alan Embree,1030.0,A,A,A,A,A
Rod Beck,1730.0,C,B,B,A,A
David Robertson,8241.0,B,I,D,B,B
Elmer Dessens,317.0,F,B,B,B,C
Shawn Estes,873.0,H,H,E,E,C
Tim Lincecum,5705.0,N,M,M,I,G
Tony Sipp,8280.0,A,A,A,A,A
Joe Gibbon,1004658.0,H,H,E,E,C
Charles Nagy,397.0,J,G,I,H,K
Doug Henry,1005668.0,A,A,A,A,A
Randy Jones,1006582.0,K,G,I,I,K
Tom Candiotti,1001911.0,M,F,H,J,F
Dick Ellsworth,1003754.0,K,G,G,I,I
Mike Remlinger,111.0,B,D,D,B,B
Jesse Orosco,667.0,D,D,B,B,A
Francisco Rodriguez,1642.0,H,H,E,E,C
Dock Ellis,1003747.0,J,G,I,H,K
Alex Fernandez,1003993.0,K,G,I,H,M
Mike Flanagan,1004133.0,K,M,L,I,I
Rick Honeycutt,1005992.0,G,H,E,E,D
Tim Belcher,1000789.0,J,G,J,K,I
Steve Carlton,1001964.0,J,N,K,O,J
Jim Kaat,1006660.0,J,N,K,N,J
Eric Plunk,1010400.0,A,A,A,A,A
Bill Singer,1012007.0,L,N,M,H,K
Braden Looper,526.0,B,C,A,A,A
Joaquin Andujar,1000266.0,E,K,D,G,D
Andy Messersmith,1008799.0,J,N,K,H,M
Dwight Gooden,1004852.0,N,N,M,M,N
Kyle Farnsworth,278.0,A,D,A,A,A
Doug Brocail,551.0,B,C,C,B,A
Randy Wolf,976.0,K,J,L,I,I
Derek Holland,4141.0,I,F,C,B,B
Gio Gonzalez,7448.0,M,F,N,J,F
Mark Davis,1003067.0,B,D,D,D,B
Joe Horlen,1006025.0,K,F,G,C,F
Paul Byrd,594.0,A,D,D,G,D
Jon Lester,4930.0,K,L,G,J,F
Stan Bahnsen,1000414.0,G,F,E,K,H
Denny Lemaster,1007512.0,G,K,H,C,E
Steve Trout,1013197.0,G,H,E,E,C
Danys Baez,367.0,C,B,B,A,A
Mike Williams,1014.0,A,C,A,A,A
Max Scherzer,3137.0,J,L,K,N,J
Doug Bird,1000976.0,F,I,C,B,B
Keith Foulke,231.0,F,E,D,F,B
Mariano Rivera,844.0,H,H,E,E,I
Jonathan Papelbon,5975.0,F,H,D,F,I
Mudcat Grant,1004952.0,B,K,D,D,D
Fred Norman,1009632.0,B,I,D,C,E
Bill Swift,1012788.0,I,H,H,C,E
Mark Buehrle,225.0,J,M,I,J,L
Jose Rijo,349.0,I,K,H,L,J
Joe Smith,3281.0,A,A,A,A,A
Jim Bibby,1000945.0,G,F,E,C,E
Mike Maddux,1007951.0,B,C,C,B,A
Juan Berenguer,1000865.0,E,D,D,B,B
Dick Hall,1005241.0,H,B,B,E,C
Johan Santana,755.0,M,L,K,J,J
Trever Miller,1672.0,A,A,A,A,A
Johnny Cueto,6893.0,I,K,H,L,F
Ross Grimsley,1005071.0,F,I,F,F,B
Adam Eaton,1029.0,I,I,C,B,B
Jerry Johnson,1006464.0,A,A,A,A,A
Tom Gordon,282.0,H,H,E,L,F
R.A. Dickey,1245.0,B,K,D,D,D
Rudy Seanez,1279.0,A,D,A,A,A
Fergie Jenkins,1006388.0,O,O,O,O,O
Don Sutton,1012745.0,N,N,K,N,J
Jose Mesa,961.0,B,C,D,D,B
Matt Garza,3340.0,G,F,G,C,H
Bobby Bolin,1001146.0,B,C,C,B,B
Steve Hamilton,1005277.0,E,B,B,A,A
Don Robinson,1011061.0,D,H,B,E,C
CC Sabathia,404.0,J,N,K,N,J
Fernando Rodney,494.0,A,A,A,A,A
Ron Darling,1002989.0,F,F,G,F,I
Jeff Montgomery,1009071.0,G,E,E,B,C
Dan Wheeler,120.0,B,C,C,A,A
Terry Mulholland,665.0,M,F,G,D,H
Dan Haren,1757.0,M,L,K,J,L
Larry Andersen,1000236.0,B,D,D,G,D
Tony Cloninger,1002359.0,I,I,C,B,B
Turk Farrell,1003950.0,K,E,F,F,G
Tommy John,1006515.0,J,G,I,H,F
Milt Pappas,1009989.0,G,K,N,K,M
Brad Radke,748.0,J,G,I,H,F
Esteban Loaiza,1310.0,G,F,D,L,F
Cal Eldred,1653.0,H,B,B,E,C
Phil Hughes,7450.0,F,E,H,C,E
Dave Giusti,1004748.0,I,I,C,B,B
Greg Harris,1005415.0,B,C,C,B,B
Jerry Reuss,1010853.0,K,G,I,C,M
Pedro Astacio,862.0,G,H,E,C,E
Jeff Nelson,1092.0,E,C,C,B,B
Mike Bielecki,1000951.0,B,C,C,D,B
Jeff Weaver,503.0,J,G,I,I,K
George Brunet,1001590.0,I,C,D,D,B
Russ Ortiz,1124.0,K,F,G,D,B
Bob McClure,1008400.0,A,D,A,A,A
Brandon McCarthy,4662.0,I,F,D,D,E
Rick Rhoden,1010887.0,F,K,H,L,F
Andy Ashby,637.0,I,K,D,C,E
John Burkett,179.0,K,G,H,L,M
Tom Burgmeier,1001668.0,A,A,A,A,A
Mike Krukow,1007185.0,G,F,E,C,F
Juan Marichal,1008106.0,O,L,K,O,J
John Montefusco,1009065.0,L,J,L,I,G
Paul Assenmacher,1000344.0,B,C,C,B,B
Scott McGregor,1008546.0,K,G,I,I,I
Jamey Wright,715.0,B,C,C,B,A
Mike Trombley,758.0,B,C,A,A,A
Heathcliff Slocumb,1012069.0,B,C,C,B,A
Hoyt Wilhelm,1013945.0,H,H,F,E,C
Zach Duke,3840.0,H,H,B,E,C
Jack Aker,1000097.0,A,A,A,A,A
Chuck McElroy,1008477.0,E,A,A,A,A
Jeff Shaw,1011823.0,A,D,A,G,D
Todd Worrell,1014259.0,C,B,B,G,A
Roger Clemens,815.0,O,O,O,O,O
Jim Johnson,3656.0,E,A,A,A,A
Jim Barr,1000606.0,G,G,G,C,H
Eddie Fisher,1004085.0,C,B,B,A,A
Steve Hargan,1005356.0,L,J,J,E,G
Eric Show,1011937.0,B,D,D,D,B
Carl Pavano,790.0,G,K,E,D,D
Greg Minton,1008986.0,C,A,A,A,A
Edwin Nunez,1009658.0,A,A,A,A,A
Fernando Valenzuela,1013327.0,N,M,M,M,N
Steve Avery,1706.0,K,G,L,I,G
Rick Porcello,2717.0,G,F,H,C,E
Paul Lindblad,1007614.0,A,A,A,A,A
Tom Murphy,1009376.0,C,B,B,A,C
Curtis Leskanic,694.0,C,B,B,A,A
Hector Carrasco,1240.0,A,A,A,A,A
Russ Springer,1652.0,A,A,A,A,A
Doug Fister,9425.0,J,J,L,I,G
Don Hood,1005994.0,A,C,A,A,A
Jim Perry,1010213.0,D,D,D,G,D
Pete Richert,1010922.0,B,I,C,B,B
Mario Soto,1012289.0,M,L,N,K,H
Carlos Zambrano,305.0,J,M,I,H,K
Brian Fuentes,429.0,B,C,C,B,A
Scott Kazmir,4897.0,K,J,L,I,I
Roy Halladay,1303.0,M,L,K,J,J
Aaron Harang,1451.0,M,L,N,K,H
Dennis Cook,8.0,A,A,A,A,A
Scott Erickson,137.0,G,G,H,L,F
Tim Wakefield,219.0,B,E,C,B,B
Jeff Reardon,1010741.0,B,C,C,B,A
Bud Norris,9492.0,I,C,C,B,B
Bob Knepper,1007031.0,H,H,E,E,I
Chris Hammond,92.0,D,C,C,B,B
Brett Myers,962.0,I,I,L,D,I
Gary Bell,1000806.0,C,D,D,G,D
Skip Lockwood,1007696.0,C,D,D,G,C
Brian Moehler,480.0,L,J,F,E,G
Ken Hill,1005827.0,G,F,H,C,E
Kevin Brown,642.0,K,L,K,N,J
Steve Reed,1053.0,A,A,A,A,A
Salomon Torres,1628.0,A,A,A,A,A
Jered Weaver,4235.0,M,L,N,K,L
Justin Verlander,8700.0,O,O,O,O,O
Kirk McCaskill,1008382.0,H,H,E,E,C
Juan Pizarro,1010382.0,K,J,L,I,G
Dan Plesac,1319.0,D,B,B,B,C
Mark Guthrie,876.0,C,B,B,A,C
Vicente Padilla,964.0,F,E,F,F,B
Pete Harnisch,1005374.0,F,E,L,F,B
Tom Henke,1005649.0,L,H,J,E,G
Claude Raymond,1010732.0,E,A,A,A,A
Frank Tanana,1012818.0,N,M,M,I,N
Matt Morris,1172.0,K,M,G,K,L
Aaron Cook,1571.0,I,K,D,D,D
Clayton Richard,3551.0,D,B,B,A,A
Willie Hernandez,1005714.0,B,D,D,G,D
Jeff Fassero,279.0,M,L,I,H,K
Mike Fetters,988.0,A,A,A,A,A
Ryan Franklin,1076.0,C,A,A,A,A
Jake Peavy,1051.0,M,L,I,J,L
Woody Williams,1190.0,B,D,D,G,D
Floyd Bannister,1000516.0,G,G,G,C,M
Jose DeLeon,1003168.0,G,K,E,H,M
Rollie Fingers,1004051.0,G,F,H,C,E
Dave Goltz,1004818.0,M,L,K,J,M
Steve Rogers,1011138.0,O,N,K,M,L
Stan Williams,1014039.0,H,H,E,E,C
Jon Garland,232.0,G,K,H,C,E
Rick White,456.0,E,A,A,A,A
Jaime Navarro,1009465.0,K,G,H,C,I
John Wetteland,1013815.0,E,I,D,B,B
Pat Hentgen,145.0,M,F,N,K,H
Doug Drabek,1003473.0,J,G,H,H,M
Chuck Finley,384.0,M,F,N,J,F
Jack Fisher,1004090.0,H,H,E,E,C
Bill Hands,1005303.0,M,L,N,J,L
Ken Johnson,1006477.0,K,G,G,F,H
Mickey Lolich,1007712.0,J,N,K,N,J
John Curtis,1002905.0,D,B,B,E,C
Moe Drabowsky,1003474.0,D,D,A,A,A
Kevin Gregg,1793.0,E,A,A,A,A
Tim Hudson,921.0,N,M,M,M,L
Terry Forster,1004236.0,F,E,F,F,G
Mark Portugal,1010460.0,B,C,D,G,E
Dave Roberts,1011031.0,J,G,I,H,K
Mike Scott,1011691.0,B,K,H,L,M
Cliff Lee,1636.0,G,G,H,N,J
Kerry Wood,304.0,K,M,J,K,G
Roy Oswalt,571.0,O,N,O,M,N
Pete Smith,1012191.0,D,B,B,A,A
Jorge De La Rosa,2047.0,I,I,D,D,E
Mike Boddicker,1001111.0,N,M,M,H,M
Pat Dobson,1003345.0,M,F,N,J,E
Tug McGraw,1008545.0,B,C,C,B,A
Nolan Ryan,1011348.0,M,L,N,J,J
Rafael Betancourt,177.0,I,C,C,B,B
Bob Howry,237.0,A,D,A,G,A
Willie Blair,1001033.0,A,A,A,A,A
Tom Hume,1006179.0,D,B,B,A,A
Rick Helling,58.0,B,I,D,D,B
Neil Allen,1000154.0,A,A,A,A,A
Mike Caldwell,1001830.0,D,K,H,L,M
Bruce Kison,1006978.0,B,D,D,G,D
Sam McDowell,1008476.0,K,L,K,N,O
Clyde Wright,1014272.0,B,C,C,D,D
Doug Jones,1006552.0,H,H,J,E,C
Bret Saberhagen,1011355.0,O,N,K,M,N
Zane Smith,1012218.0,J,G,I,H,K
James Shields,7059.0,J,G,I,H,M
Mike LaCoss,1007240.0,C,B,B,G,A
Steve Renko,1010835.0,G,C,E,D,E
Scott Sanderson,1011422.0,F,H,J,C,I
Kelvim Escobar,1298.0,I,H,H,C,E
Earl Wilson,1014073.0,G,F,E,C,E
Jack Morris,1009211.0,F,G,H,L,F
Elias Sosa,1012284.0,B,D,A,A,A
Pete Falcone,1003910.0,C,B,B,A,A
Aurelio Lopez,1007753.0,C,B,B,A,A
Ricky Bones,1001161.0,E,A,A,A,A
Jay Howell,1006098.0,H,B,B,E,C
Bob Tewksbury,1012941.0,G,K,G,C,F
Ron Kline,1007004.0,C,B,B,A,A
Dan Quisenberry,1010622.0,I,D,D,D,B
Darren Oliver,206.0,G,E,C,B,B
Santiago Casilla,2873.0,A,A,A,A,A
Ray Culp,1002869.0,G,K,H,L,M
Bronson Arroyo,978.0,M,F,G,K,H
Darren Holmes,95.0,E,C,C,B,A
Pedro Martinez,200.0,O,O,O,O,O
Rudy May,1008310.0,F,G,H,C,E
Rheal Cormier,952.0,H,H,B,E,C
Chris Bosio,1001212.0,K,G,I,H,I
Dick Bosman,1001215.0,I,I,G,D,B
Tom Underwood,1013281.0,H,H,E,E,C
Moose Haas,1005172.0,G,F,G,C,E
Justin Speier,451.0,A,A,A,A,A
Joe Beimel,979.0,A,A,A,A,A
Dave Veres,1188.0,C,C,A,A,A
David Price,3184.0,J,N,K,H,K
Joe Coleman,1002428.0,M,L,N,K,H
John Denny,1003210.0,E,D,D,C,F
Phil Niekro,1009583.0,M,L,K,J,J
Buddy Groom,143.0,A,A,A,A,A
