"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","Cluster"
"Ramon Martinez","1008193","0.4","0.8","4.9","2.9","1.1","1.9","1.9","2.2","2","1.3","1.9","D"
"Bob Welch","1013750","2.4","1","2.9","1.9","3.3","3.7","2.8","2.1","5.4","4.5","3","E"
"Bob Wickman","    413","0.7","0.9","1.6","0.8","0.6","1.1","1","0.8","1.8","2","0.7","A"
"Norm Charlton","1002160","0.6","1.4","2.4","1.9","1.5","0.8","1.5","1.2","-0.2","0","0.3","C"
"Josh Beckett","    510","1.9","4","3.3","4.2","1","5.7","4.3","4.3","1","3.8","2","I"
"Arthur Rhodes","   1097","0.1","2","-0.4","0.5","0.2","1","1.9","1","-0.4","1.6","2.5","A"
"Steve Kline","   1164","-0.6","0.8","0.6","1.1","1.2","0.7","-0.1","0.6","-0.7","0.2","0.2","A"
"Ismael Valdez","   1283","3.8","4.4","3.9","2.2","2.2","0.4","2","2.4","0.2","-0.5","0","G"
"J.P. Howell","   8245","0.2","0.7","0.4","1.5","0.7","-0.5","-0.4","0.9","0.4","0.3","0.3","A"
"Mark Langston","1007323","4.4","-0.7","4.1","6.4","4","4.8","4.6","3","5.4","5.6","1.6","L"
"Gene Nelson","1009501","-0.3","0.9","-0.4","0.6","0","1.4","1.8","0.5","1","0.6","-1.6","A"
"Darold Knowles","1007058","0.9","0.6","0.9","0.2","0.8","0.6","0","-0.2","-1.1","1.7","0.4","A"
"Joe Price","1010530","0.4","0.8","0.4","2","1.8","0.3","-0.1","0.3","0.2","0.2","0.2","A"
"Chris Short","1011931","0.4","0.7","1.1","3.4","5.6","6.5","3.3","3.4","2.1","3.9","0.6","H"
"Bobby Witt","1014170","0.8","1.7","2.4","2.5","5","0.9","1.3","3.2","0.9","3.6","2.5","E"
"Dave McNally","1008655","1.2","1.4","2.3","3","0.7","4.5","4.7","4.9","1.8","3","3.2","F"
"Brad Penny","    535","1.2","4.6","1","3.1","3","3.5","3.6","4.4","0","1.8","0.9","F"
"Sterling Hitchcock","    824","0.4","0.8","2","2.7","0.7","1.5","3","0.4","1.2","0.4","0.3","B"
"David Weathers","    902","0.9","1","0.4","0.4","1.9","0.1","0.5","1.1","0.5","0.7","-0.3","A"
"Darryl Kile","   1163","0","0.8","2.4","0.8","1.7","3.7","4","3.2","0.9","4.3","4.5","E"
"Ken Holtzman","1005989","3","0.2","2.3","5.1","5.8","3.6","2.7","5","5.5","3.6","1.7","L"
"Rick Sutcliffe","1012734","2.7","-0.4","-0.3","3.5","3","6","2.4","1.5","3.4","3.2","3.7","E"
"Todd Stottlemyre","     75","-0.2","1.2","2.7","2.6","1.4","3","2","4.1","2.3","3.3","4.1","E"
"Mike Mussina","    837","1.7","5.3","2.8","3.4","5.1","5.3","5.4","5.1","6","6.4","6.9","N"
"Alan Embree","   1030","-0.6","0.9","0","0.5","0.6","-0.3","1.6","0.8","0.4","-0.3","1.1","A"
"Rod Beck","   1730","0.4","2.7","1.4","-0.3","0","0.4","1.1","1.1","0.1","0.9","-0.6","C"
"David Robertson","   8241","0.2","0.7","0.8","2.3","1.5","1.3","1.4","1.7","1.1","1.9","1.5","B"
"Elmer Dessens","    317","0.1","3","2.2","1.6","2.2","0.8","0.5","0.6","0","-0.2","-0.3","C"
"Shawn Estes","    873","1.3","3.6","1.8","2.4","3","2.1","1.5","0.6","0.7","0.8","-0.1","J"
"Joe Gibbon","1004658","1.3","4.2","0.5","2.5","1.7","1.3","1.5","1.1","-0.5","-0.2","0","C"
"Charles Nagy","    397","0","3.2","7","0.6","3.5","3.2","5.4","2.9","1.3","3.2","0","G"
"Doug Henry","1005668","0.8","0.6","-0.2","-0.7","0.5","0.1","0.5","-0.4","-0.6","-0.6","-0.7","A"
"Tom Candiotti","1001911","0.6","0.2","4.3","1.3","4.5","4.4","2.3","5.8","3.5","4.2","2.5","E"
"Dick Ellsworth","1003754","2.3","2.2","2.2","6.6","1.7","3","4","1.1","3.3","1.9","0.4","K"
"Mike Remlinger","    111","-0.2","-0.4","2.2","1.1","1","1","1.5","1.5","0.1","0.6","-0.1","A"
"Jesse Orosco","    667","-0.3","1.3","2.2","1","0.9","0.4","1.6","-0.4","1.1","-0.5","0.5","C"
"Francisco Rodriguez","   1642","0.6","3.7","1.5","2.4","1.9","1.5","0.7","1.5","1.3","0.2","0.3","C"
"Dock Ellis","1003747","0.7","4.2","3.4","3.7","3.9","4.4","3","1.9","1.2","3.1","0.7","K"
"Mike Flanagan","1004133","0.6","4.4","4.5","6","2.9","1.5","2.7","1.8","2.4","0.3","2.6","K"
"Rick Honeycutt","1005992","1.5","2.2","2.5","1.5","0.9","2.8","1.9","1.5","3.1","1.8","0.4","D"
"Tim Belcher","1000789","0.8","4.1","3.3","1.5","4.1","3.1","3","1.2","1.7","3.8","1.9","G"
"Steve Carlton","1001964","0.9","4.4","4","4.9","3.6","3.1","11.1","4.5","5.3","3.5","5.1","M"
"Jim Kaat","1006660","-0.3","3.8","5.4","1.9","4.7","4.3","6.4","6.4","3.9","3.5","3.2","M"
"Eric Plunk","1010400","-0.5","1.1","0.8","0","0.2","-0.1","0.3","1.5","1.6","1.1","1.7","A"
"Bill Singer","1012007","4.7","4.2","6.1","2","2","2.3","6.2","2.6","0.6","1.8","0.3","G"
"Braden Looper","    526","0.5","0.1","0.1","0.5","1.2","1.7","-0.6","1.1","1.4","1.4","-0.5","A"
"Joaquin Andujar","1000266","0.9","1.2","0.6","1.3","1.1","0.6","5.5","1.6","3.1","3.1","0.3","D"
"Andy Messersmith","1008799","1.3","5","2.3","3.5","3.5","3.2","5.6","5.9","3.7","1.4","-0.3","F"
"Dwight Gooden","1004852","8.3","8.9","4.8","4.5","6","1.8","6.8","4","3.5","3.7","0.1","I"
"Kyle Farnsworth","    278","-0.4","-0.3","2","-0.4","1.2","0.3","1.5","1.1","-0.2","-0.7","0.6","A"
"Doug Brocail","    551","1","-0.2","-0.2","0.4","1.7","1.8","0.8","0.8","1.1","0","0.7","A"
"Randy Wolf","    976","0.8","2.9","3.4","3.9","2.5","1.7","0.7","-0.1","1.9","2.6","3","J"
"Gio Gonzalez","   7448","-0.7","1.1","3.2","3.3","5","3.2","3.2","3.6","2.8","3.7","2.1","E"
"Mark Davis","1003067","-0.3","0.5","0.4","1.5","1.6","0.8","2.8","2.2","-0.6","0","-0.9","B"
"Joe Horlen","1006025","1.4","0.7","4.5","4","3.1","3.5","1.6","3.5","2.5","2.4","1.4","H"
"Paul Byrd","    594","-0.3","-0.1","0.8","0.5","-0.1","1.4","3.1","1.7","3.3","1.7","1.8","D"
"Jon Lester","   4930","1","0.2","4.2","5.4","5","2.6","2.4","3.3","5.4","4.8","4.2","E"
"Stan Bahnsen","1000414","4.4","1","2.3","2.2","3.2","3.3","1.1","1.7","1.1","0.8","-0.6","G"
"Steve Trout","1013197","2.1","3.2","1.8","1.5","2.4","3.4","1.3","2","1.6","-0.2","0","G"
"Max Scherzer","   3137","1.1","2.7","4","2.3","4.5","5.9","5.6","6.4","5.6","6.3","7.4","N"
"Doug Bird","1000976","1.1","1.5","1.6","2.8","1.4","0.8","0","0.4","1.5","1.1","-0.5","C"
"Keith Foulke","    231","0","0.4","2.9","2.5","2.6","1.3","1.8","1.6","-0.4","0.1","-0.5","B"
"Mariano Rivera","    844","0.3","4.3","2","1.2","2.1","1.9","3.2","1.4","2.5","2.5","2.9","D"
"Jonathan Papelbon","   5975","0.3","3.1","2.1","2.8","1.9","1","3","1.4","1.1","2","0.4","J"
"Mudcat Grant","1004952","-0.7","1.6","0","1.6","1.7","3","3.6","1.1","0.5","-0.3","0.7","B"
"Fred Norman","1009632","-0.9","-0.5","1.1","2.2","1.6","3.2","0.6","2.7","1.8","0.8","2.9","B"
"Bill Swift","1012788","1.9","1.5","1.8","1.5","2.6","1.6","2.7","4.5","1.6","1.5","0.2","F"
"Mark Buehrle","    225","0.6","4","4.3","4.3","4.5","5.9","1.7","3.3","4.3","3","4","I"
"Jose Rijo","    349","0.6","1.3","1.7","0.8","3.8","2.1","4.5","6.1","5.1","7.1","4.1","M"
"Joe Smith","   3281","0.2","0.3","0.2","-0.2","1.3","0.8","0.5","0.9","0.9","-0.3","1.8","A"
"Jim Bibby","1000945","0.3","1.9","1.9","2.6","2.5","3.8","1","2.5","2.6","1.7","-0.7","B"
"Mike Maddux","1007951","0.7","0.7","0.4","1.4","1.5","1.1","-0.1","2.1","-0.3","0.7","0.3","A"
"Juan Berenguer","1000865","0.6","-0.3","1.5","2.2","0.9","0.8","2.3","0.8","0.3","-0.1","0.7","A"
"Dick Hall","1005241","1.9","2.7","2.2","1.1","0.7","1.6","0.3","0.9","-0.1","1","0.3","C"
"Johan Santana","    755","0","0","3.4","3.7","6.8","7.1","6.7","4","5.3","3.5","3.7","L"
"Johnny Cueto","   6893","1","1.4","2.5","3","4.3","0.7","4.5","4.1","4.9","1.2","0.2","F"
"Ross Grimsley","1005071","1","1.4","1.6","4.2","0.9","1.1","0.7","2.7","0.2","-0.2","-0.3","C"
"Tom Gordon","    282","2.4","2.5","1.6","1","2.5","2.2","3.5","2.8","4.4","2.7","1.5","F"
"R.A. Dickey","   1245","1.3","0.6","-0.1","-0.4","2.8","2.6","4.6","1.9","1.7","1.8","0.9","D"
"Fergie Jenkins","1006388","1.8","4.5","6.3","8.2","9.5","9.6","4.8","4.2","7.8","2.7","3.7","O"
"Don Sutton","1012745","4.7","3","4","3.9","1.9","7.1","6.8","6","4.7","5.4","3.3","M"
"Jose Mesa","    961","-0.1","0.5","0.8","0.9","2.9","1.7","2.1","1.4","1","0.4","-0.9","B"
"Matt Garza","   3340","0.6","1.1","3.3","2.8","2.1","4.7","0.9","2.1","2.5","0.4","1.2","H"
"Bobby Bolin","1001146","-0.4","0.6","1.4","1.4","1.6","1.9","-0.6","2.6","1","0","0.5","A"
"Don Robinson","1011061","3.4","2.5","2.1","-0.5","1","0","2","0.8","0.5","1.5","2.7","D"
"CC Sabathia","    404","2.7","3.6","3.5","2.8","3.6","5","6.4","7.4","5.8","5.5","5.8","M"
"Fernando Rodney","    494","0.4","0.5","0.6","0.3","0.3","0.2","-0.4","2.2","1.2","1","-0.8","A"
"Ron Darling","1002989","0.6","1","2.2","3.5","2","2.6","2.7","0.2","1.5","2.5","1","B"
"Jeff Montgomery","1009071","-0.1","2.7","1.6","1.6","1.4","2.6","1","0.8","-0.3","0.4","0.4","C"
"Terry Mulholland","    665","0.2","0.6","1.4","2.4","4.6","3.8","2.9","0.5","0.1","2.5","1.3","H"
"Dan Haren","   1757","0.7","0.5","3.7","3.8","4.7","6.1","5.3","3.6","5.9","1.8","1.5","L"
"Larry Andersen","1000236","1.1","-0.7","0.8","0.4","0.8","1.3","1.4","2.3","2.7","1.7","0.8","D"
"Tony Cloninger","1002359","-0.4","1.1","0.1","2.7","3.8","1.5","-0.2","0.4","0.1","0.4","-0.9","B"
"Tommy John","1006515","1.1","3","3.8","2.6","2.9","3.8","4.4","4.5","3","3.3","3.7","E"
"Milt Pappas","1009989","3","1.4","1.2","2.1","4.8","3","3.7","3.8","2.2","1.4","3.3","F"
"Brad Radke","    748","0.8","2.8","4.9","4.2","3.7","4.2","4.5","2.1","2.8","5","2.2","I"
"Esteban Loaiza","   1310","1.2","-0.2","2.9","1","2.5","2.9","2.1","2.3","6.9","1.2","4.7","E"
"Cal Eldred","   1653","2.6","2.9","1.3","1.3","0.8","1.1","-0.4","1.9","0.3","0.2","0.1","C"
"Phil Hughes","   7450","1","0.4","2.3","3.1","0.5","1.9","1","6.4","1.2","0.3","0.1","F"
"Dave Giusti","1004748","0.4","1","2","2.7","3.8","1.2","1.3","0.4","1.1","0.2","1.7","B"
"Greg Harris","1005415","0.4","0.2","0.3","2","1.4","1.7","-0.1","-0.1","2.6","2.5","0.5","A"
"Jerry Reuss","1010853","2","1.4","2.8","4","2.5","4.6","2.9","3.9","1","2.9","4.6","E"
"Pedro Astacio","    862","1.8","2.6","1.5","1","2.6","3","1.6","4.2","3.5","3.2","1","F"
"Jeff Nelson","   1092","-0.5","0.4","0.4","2.2","1.3","1","0.4","0.3","1.3","1.1","0.5","A"
"Mike Bielecki","1000951","-0.3","1","0.5","0.4","3.2","1.8","1","2","0.7","0","0.7","B"
"Jeff Weaver","    503","1.6","3.1","4","4.1","2.2","4.3","2.4","0.3","0.9","0.5","-0.3","K"
"Russ Ortiz","   1124","0.4","1.7","1.1","4.4","2.9","3","1.6","-0.3","-1","0.4","0.6","B"
"Bob McClure","1008400","1.4","-0.5","-0.1","0.6","0.8","0.9","1.6","0.2","0.9","-0.3","-0.2","A"
"Brandon McCarthy","   4662","0.5","0","1.1","1","4.5","1.9","1.6","2.6","0.6","2.1","0.2","B"
"Rick Rhoden","1010887","0.7","1.2","3.2","1.6","1.7","2","3.6","5","4.3","2.7","4.6","E"
"Andy Ashby","    637","0","-0.4","0.1","3.2","3.3","1.8","3.8","3.2","2.7","1.9","1.8","F"
"John Burkett","    179","2.5","2.3","2.8","4.5","2.4","2.2","4.6","4.6","4.1","2.4","2.5","F"
"Tom Burgmeier","1001668","-0.1","-0.1","0.5","0.6","-0.2","0.2","0.6","-0.3","-1.1","-0.3","1.2","A"
"Mike Krukow","1007185","2.7","1.7","2.3","2.9","2.1","3.8","2","1.4","3.5","4.2","1.3","E"
"Juan Marichal","1008106","1.6","2.3","1.7","6.7","6.4","6.8","6.3","3.7","5.9","7.8","3.2","O"
"John Montefusco","1009065","0.7","6","5.2","3.1","2.9","0.7","0.4","0.1","1.8","1.7","0.7","J"
"Paul Assenmacher","1000344","0.8","-0.2","1.1","1.6","1.4","2.2","0.7","0.5","0.7","0.8","1.4","A"
"Scott McGregor","1008546","1.2","3.5","2.8","4.9","2.4","1.9","3.7","2.1","0.6","0.9","0.1","K"
"Jamey Wright","    715","1","0.6","1.5","1","1.8","0.8","-0.2","0.6","0.6","0.8","0.4","A"
"Hoyt Wilhelm","1013945","2.6","1.7","1.7","2.6","1.9","1.4","0.9","1.2","1.4","1.3","0.4","C"
"Zach Duke","   3840","2.2","3.2","0.7","2.7","2.9","0.2","0.6","0","1.3","-0.5","1.3","J"
"Chuck McElroy","1008477","0.7","0.5","0","1.2","0","0.6","1.4","1.9","-0.2","0.5","-0.9","A"
"Jeff Shaw","1011823","-0.4","0","-0.3","0.4","0.3","1.2","2.3","1.2","1.1","0.5","0.6","A"
"Roger Clemens","    815","3.4","2.3","7.1","8.4","9.2","5.1","8.2","8.5","7.6","3.7","4.2","O"
"Jim Barr","1000606","0.2","1.9","2.5","3.3","2.7","3.6","3.1","2.1","1.6","-0.7","0.6","K"
"Eddie Fisher","1004085","-0.4","2.2","1","0.4","0.5","0.6","0.1","0.2","0.2","0.2","0.1","A"
"Steve Hargan","1005356","0.9","4.7","4.2","0.4","0.7","1.8","-0.9","2.6","1.9","0.8","0.5","C"
"Carl Pavano","    790","0.9","2.1","1.8","0.4","0.8","3.3","4.5","0.6","0","3.5","2.8","D"
"Greg Minton","1008986","0.7","1.1","0.5","0.7","-0.4","-0.5","-0.7","-0.1","0.8","1.2","0.5","A"
"Fernando Valenzuela","1013327","4.9","6.1","4.2","5.2","5.4","6.2","2.3","-0.2","1.6","1.7","1.4","I"
"Paul Lindblad","1007614","0.8","0.3","0.2","0.2","-0.1","0.3","0.2","-0.3","1.5","1.3","0.9","A"
"Tom Murphy","1009376","1.3","2.7","0","0.6","0.8","1.5","0.3","0.1","-0.2","-0.2","-0.6","C"
"Hector Carrasco","   1240","0.4","1","0.1","0.5","0.5","0.7","0.4","0.6","-0.1","1.3","0.7","A"
"Russ Springer","   1652","-0.3","0.1","-0.3","0.9","0.9","0.4","0.4","-0.2","0.2","0.1","1.4","A"
"Jim Perry","1010213","1.4","1","1.9","1.5","0.6","1.7","2.9","1.8","2.3","5.5","6.7","E"
"Pete Richert","1010922","1","0.4","0.1","2.8","2.4","2.5","0.1","0.7","0.8","0.1","0.3","B"
"Mario Soto","1012289","-0.2","-0.1","3.1","3.3","7.4","4.5","2.5","3.1","0.3","-0.2","0.5","H"
"Carlos Zambrano","    305","1.1","4.7","4.7","4.2","3.9","2.8","2.8","3.8","1.9","0.6","0.6","K"
"Scott Kazmir","   4897","0.5","3.6","3.6","4.8","2.3","2.2","-1","2.5","3.4","2.3","1","J"
"Roy Halladay","   1303","0.5","-0.3","4","6.8","7","2.8","3.8","5.1","5.1","6.6","7","N"
"Aaron Harang","   1451","1.2","1","1.8","4.6","5.7","5.4","1.4","2.2","0.7","1.4","2.3","H"
"Dennis Cook","      8","0.1","-0.4","0","0","0.2","0.2","1.5","0.7","1.4","0.1","-0.1","A"
"Scott Erickson","    137","0.8","3.2","1.9","3.3","2.2","3.4","3.6","4.7","5.2","2","0.2","F"
"Tim Wakefield","    219","1.3","-0.5","2.6","1","1.8","1.6","0.7","-0.3","2.2","2.7","3.6","D"
"Jeff Reardon","1010741","0.6","0.4","1.7","0.7","1","1.2","0.1","0.7","1.6","0.6","0.2","A"
"Bob Knepper","1007031","1.6","4.5","0.1","1.9","2.7","1.6","2.6","1.7","2.8","3.5","0.1","J"
"Chris Hammond","     92","1.2","1.2","2.2","1.2","2.4","-0.3","0.9","1.8","1.3","0.6","-0.2","C"
"Brett Myers","    962","-0.1","2.3","1.1","3.4","3.5","1.2","1.8","-0.5","3.8","1.7","0.1","J"
"Skip Lockwood","1007696","0.6","2.5","1.7","2","-0.2","0.8","2.3","2.3","0.4","0.9","-0.1","C"
"Brian Moehler","    480","2.1","3.1","3.4","3.3","0.3","2.1","0.3","0","1.4","1.1","0.1","J"
"Ken Hill","1005827","1.8","1","2.1","3.2","2.6","2.3","1.4","5.6","1.9","1.7","1.1","F"
"Kevin Brown","    642","3.1","2.4","1.5","6.3","4.4","3.4","4.5","6.7","6.5","9.6","7.3","N"
"Steve Reed","   1053","-0.5","-0.1","1.7","0.3","-0.3","0.8","0.1","0.3","0.3","1.1","-0.2","A"
"Salomon Torres","   1628","-0.1","0.2","-0.4","0.7","0.2","0.3","1.3","0.3","1.1","0.1","0.3","A"
"Jered Weaver","   4235","2.5","2.9","3.2","3.8","5.8","5.4","3","2.3","1.3","0.8","0.1","H"
"Justin Verlander","   8700","2.8","3.7","3.2","8.5","6.6","6.5","6.9","4.8","3.2","3.1","5.3","O"
"Kirk McCaskill","1008382","2.2","5.6","0.3","2.6","3.2","2.4","1.3","2.7","1.1","0.3","0","J"
"Juan Pizarro","1010382","-0.2","3.9","3.9","4.7","3.9","0.9","-0.3","0.4","0","-0.1","1.3","J"
"Dan Plesac","   1319","2.5","2.3","1.9","0.9","0.9","0","0.6","-0.2","0.3","1","1.7","C"
"Mark Guthrie","    876","0.3","3.4","0.6","1.4","0.2","1","1.1","-1","0.5","-0.1","0.5","C"
"Vicente Padilla","    964","1","0.7","3.6","2.7","1.3","0.6","3.2","0.7","1.5","1.7","0.7","D"
"Pete Harnisch","1005374","0.2","2","3.3","2.5","3.2","0.3","1.7","0.7","-0.1","3.2","2.9","D"
"Tom Henke","1005649","1.1","3.5","3.3","1","3.5","1.5","1.7","0.6","1.6","0.6","1.3","J"
"Frank Tanana","1012818","3.6","7.2","6","5.8","2.8","1.3","3.5","1.2","2.6","2.6","2.1","I"
"Aaron Cook","   1571","0.3","1","1.2","1","3.6","2.1","4.7","1.4","1.1","0.8","-0.4","B"
"Willie Hernandez","1005714","1.6","-0.4","0","0.8","1.4","1.4","3.2","1.7","0.8","-0.1","0.1","B"
"Jeff Fassero","    279","1.3","1.3","3.5","2.9","3.6","5.9","5","3.1","-0.5","1.8","1.7","H"
"Mike Fetters","    988","-0.1","-0.1","0.5","0.1","0.9","0.5","1.4","1.2","0.5","-0.3","0","A"
"Jake Peavy","   1051","1.7","0.8","4.1","5.4","4.4","6.7","3.7","2.7","1.8","2.9","4.4","L"
"Woody Williams","   1190","0.2","0.5","0.3","0.9","1.4","1.3","1.5","1.9","2","1.9","4.5","D"
"Floyd Bannister","1000516","1.7","0","2.3","4.2","1.8","4.9","5","2","2.5","2.5","2.3","H"
"Jose DeLeon","1003168","3","2.9","1.8","0.8","2.4","4.6","4.6","2.8","1.8","1.2","-0.3","F"
"Rollie Fingers","1004051","0.2","1.6","1","1.5","2.4","3.3","2.2","4.1","2.1","2.3","0.3","F"
"Dave Goltz","1004818","1.2","1.4","2.4","4","3.3","6","4.4","4.6","2","1","1.5","H"
"Steve Rogers","1011138","2.6","4.4","4.2","4.8","7","3.7","4.2","4","3","6.4","4.9","I"
"Jon Garland","    232","0.4","0.3","2.2","1.7","1.9","3.5","3.6","3.5","1.3","1.8","1","F"
"Rick White","    456","0.2","0.8","0.3","1.6","0.7","0.6","0.9","-0.2","-0.9","0.5","0.1","A"
"Jaime Navarro","1009465","1.8","2.1","3.1","4","2.4","1","3.3","3.2","3.2","-0.6","0","K"
"John Wetteland","1013815","1.7","-0.1","1.3","3.4","1.4","1.7","1.2","1.6","2","1.2","0.4","B"
"Pat Hentgen","    145","-0.3","2.2","3.5","2.5","6","3.8","0.7","1.9","2.2","0.9","1.1","H"
"Doug Drabek","1003473","1.5","2.7","2.4","2.5","4.2","3.9","4.8","4.1","2.9","2.6","1.7","F"
"Chuck Finley","    384","0.5","0.7","2.4","3.8","4.8","2.9","1.3","5.1","3.4","4.4","5","E"
"Mickey Lolich","1007712","1.9","4.4","5.1","2.2","4.6","3.2","6","5.1","8.3","6.1","5.4","N"
"John Curtis","1002905","3.3","2.2","1.4","0.2","-0.3","0","0.5","0.8","1.6","-0.9","0.2","C"
"Moe Drabowsky","1003474","0.4","-0.1","2.4","0.6","0","1.3","1.4","0.2","0.8","0","0.4","A"
"Tim Hudson","    921","3.8","3.5","5.1","4.7","5.8","4.6","1.8","2.5","4.9","1.9","0.6","I"
"Terry Forster","1004236","0.5","2.3","3.1","3","0.8","1.3","0.9","1.6","0.1","0.7","1.3","C"
"Mark Portugal","1010460","1.3","-0.7","-0.7","1.6","1.7","0.9","0.7","3.4","1.2","2.2","1.7","B"
"Dave Roberts","1011031","-0.3","2.6","5.4","1.8","4.2","3.2","1.8","3.2","1.7","0.1","0.4","G"
"Mike Scott","1011691","0.3","1.3","0.3","1.7","2.2","1.7","8.6","5.4","3.5","2.6","0.7","F"
"Cliff Lee","   1636","0.7","1.1","3.8","2.3","0.1","6.8","6.4","7.4","7.1","4.9","5.5","M"
"Kerry Wood","    304","4.4","1.4","3.9","3.6","4.2","2.9","0.5","2.1","0.4","0.2","0.4","G"
"Roy Oswalt","    571","4.2","6.2","2.6","6.5","6.1","6.1","4.9","3.7","3.5","4.4","2.8","I"
"Jorge De La Rosa","   2047","0.3","-0.3","0.4","2.4","3.3","1.4","1.5","2.8","1.8","1.8","0.4","B"
"Mike Boddicker","1001111","3.8","3.6","3.8","2.9","3.3","4","2.9","4.1","1.7","0.4","0.5","G"
"Pat Dobson","1003345","-0.5","0.6","1","3.2","5.6","4.9","1.8","4.4","2.2","3.6","-0.4","H"
"Tug McGraw","1008545","0.1","-0.4","1.3","0.7","2","1.6","-0.1","-0.2","0.7","1.3","1.1","A"
"Nolan Ryan","1011348","0.6","1.7","1.1","0.6","5.4","8.7","6.8","2.4","5.3","6.6","5","N"
"Rafael Betancourt","    177","0.4","1.8","1.5","0.8","3.3","0.2","1.4","1.8","1.7","1.4","0.6","B"
"Bob Howry","    237","0.6","0.8","1.2","0.3","0.4","0.4","1.4","1.5","1.7","0.2","0.5","A"
"Willie Blair","1001033","0.8","-0.2","0.5","1","0.2","1.1","-0.3","3","-0.1","0.1","1.6","A"
"Tom Hume","1006179","0.1","2.2","2.6","1.4","-1","0.5","-1.2","-0.5","0","0.6","-0.6","C"
"Rick Helling","     58","-0.3","0.4","0.3","3.5","1.3","2.6","2.1","1.5","0.4","1.4","0","B"
"Mike Caldwell","1001830","2.2","1.8","1.5","0.5","1.4","1.1","6.3","4.4","1.1","0.2","1.9","F"
"Bruce Kison","1006978","1","1","0.2","0.9","1.7","3.2","2","1.5","3","0.6","-0.3","B"
"Sam McDowell","1008476","0.1","0.6","3.7","8.7","4.4","2.8","6.8","9.4","7.6","1.4","1.6","L"
"Doug Jones","1006552","2.6","3.7","2.6","1.4","0.8","2.6","0.8","1.6","0.5","1","2.8","G"
"Bret Saberhagen","1011355","1.9","6.2","3.5","5.2","5.5","7.5","2.9","4.4","2","3.3","5.4","I"
"Zane Smith","1012218","1.9","3.3","3.7","1.6","2.2","4","4.6","2.2","1.2","1.5","2.4","G"
"James Shields","   7059","1.7","4","4.1","3.4","2.1","4.9","3.8","4.1","3.4","0.8","-1","K"
"Mike LaCoss","1007240","0.6","2","1.3","-0.1","0.2","0.1","1.8","0","1.9","1.4","1.6","D"
"Steve Renko","1010835","0.1","1.4","1","-0.4","2.7","3.7","0.7","3.3","1.2","2","2.3","D"
"Scott Sanderson","1011422","1.3","2.5","2.7","2.2","2.9","0.6","3.6","2.2","2.7","1.1","1.6","F"
"Kelvim Escobar","   1298","0.8","1.9","2.3","1.9","2.7","0.5","3.4","4.2","1.5","4","4.8","E"
"Jack Morris","1009211","0.5","0.3","3.6","3.7","2.7","2.2","6.2","4","4.7","4","4.1","M"
"Elias Sosa","1012284","0.8","-0.4","-0.1","1.1","0.6","1.3","1.5","1.5","0.1","-0.6","-0.1","A"
"Ricky Bones","1001161","0.9","-0.4","0.5","2.3","1.1","-0.4","0.3","0.4","-0.1","0.9","-0.3","A"
"Jay Howell","1006098","1","2.9","2.3","0.9","0","2.2","1.5","0.8","1.1","0.5","0.7","C"
"Bob Tewksbury","1012941","2.2","0.4","0.3","2.9","2.6","4","4.3","2","3.2","3.8","4","E"
"Dan Quisenberry","1010622","0","1.9","1.1","1.5","2.7","1.5","2.7","1.3","0.6","0.4","0.9","B"
"Darren Oliver","    206","0.2","0.7","2.3","1","1.4","3.3","0.9","1.2","0.1","2.2","0","B"
"Santiago Casilla","   2873","0.4","0.3","-0.2","0.6","0.3","-0.5","-0.2","0.4","0.2","0.1","0.1","A"
"Ray Culp","1002869","2.1","0.4","2.4","-0.5","0.4","3.8","4.1","5.3","4.6","0.5","-0.3","F"
"Bronson Arroyo","    978","0.5","0.1","3.3","2.4","4.6","3.4","2.2","1.4","1.2","-1.6","2.2","H"
"Pedro Martinez","    200","1.7","3.4","3","5.1","8.5","5.7","11.6","9.4","5.5","7.4","7.4","O"
"Rudy May","1008310","0.4","1.9","3","3.5","2.6","1.5","2.7","4","2.2","2.2","1.1","F"
"Rheal Cormier","    952","1.5","3","1.2","0.4","1.7","2","0.9","0.8","0.3","-0.2","1.5","C"
"Chris Bosio","1001212","-0.3","3.7","3","5.5","1.4","3.3","3.8","2.8","1.7","2","0.5","K"
"Dick Bosman","1001215","0.3","0.9","0.9","4.2","4.1","1","2.6","-0.6","1.4","1.6","0.3","B"
"Moose Haas","1005172","1.8","0.3","1.3","4","1.9","3.6","2.9","3.1","2.1","1.6","0.1","F"
"Joe Coleman","1002428","1.7","2.5","2.8","2","7.1","3.9","4.4","1.5","1.2","1.4","0.8","H"
"John Denny","1003210","2.1","1.4","1.4","2.7","-0.2","1.9","2.2","2.2","5.8","2.7","2.9","E"
"Phil Niekro","1009583","0.4","-0.4","3.6","3.6","6.3","1.8","4.3","6","3.2","7.2","3.6","E"
"Buddy Groom","    143","0","0.1","0.2","-0.3","0.6","0.1","0.6","1.1","1.1","1.9","1.4","A"
"Ted Power","1010504","-0.4","0","1.4","0.4","1.1","2","0.8","1.1","0.3","0.4","0.5","A"
"Randy Johnson","     60","1.6","2","2.6","3.4","7","5.2","9.5","1.6","7","7.6","9.5","N"
"Brian Bohanon","1001126","-0.4","0.9","-0.2","0.1","0.3","1.2","1.1","1.7","1.8","2.1","-0.2","A"
