"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","Cluster"
"Eric Plunk","1010400","-0.5","1.1","0.8","0","0.2","-0.1","0.3","1.5","1.6","1.1","1.7","-0.3","A"
"Joaquin Andujar","1000266","0.9","1.2","0.6","1.3","1.1","0.6","5.5","1.6","3.1","3.1","0.3","-0.1","C"
"Dwight Gooden","1004852","8.3","8.9","4.8","4.5","6","1.8","6.8","4","3.5","3.7","0.1","2.1","O"
"Kyle Farnsworth","    278","-0.4","-0.3","2","-0.4","1.2","0.3","1.5","1.1","-0.2","-0.7","0.6","0.8","A"
"Randy Wolf","    976","0.8","2.9","3.4","3.9","2.5","1.7","0.7","-0.1","1.9","2.6","3","0.7","I"
"Mark Davis","1003067","-0.3","0.5","0.4","1.5","1.6","0.8","2.8","2.2","-0.6","0","-0.9","-0.3","A"
"Paul Byrd","    594","-0.3","-0.1","0.8","0.5","-0.1","1.4","3.1","1.7","3.3","1.7","1.8","0.7","C"
"Jon Lester","   4930","1","0.2","4.2","5.4","5","2.6","2.4","3.3","5.4","4.8","4.2","2.9","K"
"Stan Bahnsen","1000414","4.4","1","2.3","2.2","3.2","3.3","1.1","1.7","1.1","0.8","-0.6","-0.1","E"
"Mariano Rivera","    844","0.3","4.3","2","1.2","2.1","1.9","3.2","1.4","2.5","2.5","2.9","2.2","I"
"Jonathan Papelbon","   5975","0.3","3.1","2.1","2.8","1.9","1","3","1.4","1.1","2","0.4","0.3","I"
"Mudcat Grant","1004952","-0.7","1.6","0","1.6","1.7","3","3.6","1.1","0.5","-0.3","0.7","-1","E"
"Fred Norman","1009632","-0.9","-0.5","1.1","2.2","1.6","3.2","0.6","2.7","1.8","0.8","2.9","0.2","C"
"Bill Swift","1012788","1.9","1.5","1.8","1.5","2.6","1.6","2.7","4.5","1.6","1.5","0.2","0.9","H"
"Mark Buehrle","    225","0.6","4","4.3","4.3","4.5","5.9","1.7","3.3","4.3","3","4","3.1","F"
"Jose Rijo","    349","0.6","1.3","1.7","0.8","3.8","2.1","4.5","6.1","5.1","7.1","4.1","1.5","J"
"Joe Smith","   3281","0.2","0.3","0.2","-0.2","1.3","0.8","0.5","0.9","0.9","-0.3","1.8","0.2","A"
"Juan Berenguer","1000865","0.6","-0.3","1.5","2.2","0.9","0.8","2.3","0.8","0.3","-0.1","0.7","-0.8","A"
"Dick Hall","1005241","1.9","2.7","2.2","1.1","0.7","1.6","0.3","0.9","-0.1","1","0.3","0.2","B"
"Johan Santana","    755","0","0","3.4","3.7","6.8","7.1","6.7","4","5.3","3.5","3.7","1.5","K"
"Tom Gordon","    282","2.4","2.5","1.6","1","2.5","2.2","3.5","2.8","4.4","2.7","1.5","0.7","H"
"R.A. Dickey","   1245","1.3","0.6","-0.1","-0.4","2.8","2.6","4.6","1.9","1.7","1.8","0.9","1.3","C"
"Fergie Jenkins","1006388","1.8","4.5","6.3","8.2","9.5","9.6","4.8","4.2","7.8","2.7","3.7","2.3","N"
"Don Sutton","1012745","4.7","3","4","3.9","1.9","7.1","6.8","6","4.7","5.4","3.3","3.8","F"
"Jose Mesa","    961","-0.1","0.5","0.8","0.9","2.9","1.7","2.1","1.4","1","0.4","-0.9","0.4","A"
"Matt Garza","   3340","0.6","1.1","3.3","2.8","2.1","4.7","0.9","2.1","2.5","0.4","1.2","0.9","E"
"Bobby Bolin","1001146","-0.4","0.6","1.4","1.4","1.6","1.9","-0.6","2.6","1","0","0.5","0.2","A"
"Don Robinson","1011061","3.4","2.5","2.1","-0.5","1","0","2","0.8","0.5","1.5","2.7","1.7","B"
"CC Sabathia","    404","2.7","3.6","3.5","2.8","3.6","5","6.4","7.4","5.8","5.5","5.8","4","L"
"Fernando Rodney","    494","0.4","0.5","0.6","0.3","0.3","0.2","-0.4","2.2","1.2","1","-0.8","0.4","A"
"Ron Darling","1002989","0.6","1","2.2","3.5","2","2.6","2.7","0.2","1.5","2.5","1","2.3","I"
"Jeff Montgomery","1009071","-0.1","2.7","1.6","1.6","1.4","2.6","1","0.8","-0.3","0.4","0.4","0","B"
"Terry Mulholland","    665","0.2","0.6","1.4","2.4","4.6","3.8","2.9","0.5","0.1","2.5","1.3","1.4","E"
"Dan Haren","   1757","0.7","0.5","3.7","3.8","4.7","6.1","5.3","3.6","5.9","1.8","1.5","1.7","G"
"Larry Andersen","1000236","1.1","-0.7","0.8","0.4","0.8","1.3","1.4","2.3","2.7","1.7","0.8","1.5","C"
"Tommy John","1006515","1.1","3","3.8","2.6","2.9","3.8","4.4","4.5","3","3.3","3.7","3.5","F"
"Milt Pappas","1009989","3","1.4","1.2","2.1","4.8","3","3.7","3.8","2.2","1.4","3.3","3.3","G"
"Brad Radke","    748","0.8","2.8","4.9","4.2","3.7","4.2","4.5","2.1","2.8","5","2.2","1.6","F"
"Esteban Loaiza","   1310","1.2","-0.2","2.9","1","2.5","2.9","2.1","2.3","6.9","1.2","4.7","2.4","J"
"Phil Hughes","   7450","1","0.4","2.3","3.1","0.5","1.9","1","6.4","1.2","0.3","0.1","-0.5","H"
"Dave Giusti","1004748","0.4","1","2","2.7","3.8","1.2","1.3","0.4","1.1","0.2","1.7","0.4","B"
"Greg Harris","1005415","0.4","0.2","0.3","2","1.4","1.7","-0.1","-0.1","2.6","2.5","0.5","1.2","A"
"Jerry Reuss","1010853","2","1.4","2.8","4","2.5","4.6","2.9","3.9","1","2.9","4.6","2.5","G"
"Pedro Astacio","    862","1.8","2.6","1.5","1","2.6","3","1.6","4.2","3.5","3.2","1","-0.4","H"
"Jeff Nelson","   1092","-0.5","0.4","0.4","2.2","1.3","1","0.4","0.3","1.3","1.1","0.5","1.1","A"
"Mike Bielecki","1000951","-0.3","1","0.5","0.4","3.2","1.8","1","2","0.7","0","0.7","0.2","A"
"Bob McClure","1008400","1.4","-0.5","-0.1","0.6","0.8","0.9","1.6","0.2","0.9","-0.3","-0.2","1","A"
"Rick Rhoden","1010887","0.7","1.2","3.2","1.6","1.7","2","3.6","5","4.3","2.7","4.6","2.5","J"
"Andy Ashby","    637","0","-0.4","0.1","3.2","3.3","1.8","3.8","3.2","2.7","1.9","1.8","0.8","H"
"John Burkett","    179","2.5","2.3","2.8","4.5","2.4","2.2","4.6","4.6","4.1","2.4","2.5","5.1","F"
"Tom Burgmeier","1001668","-0.1","-0.1","0.5","0.6","-0.2","0.2","0.6","-0.3","-1.1","-0.3","1.2","3","A"
"Mike Krukow","1007185","2.7","1.7","2.3","2.9","2.1","3.8","2","1.4","3.5","4.2","1.3","1.1","I"
"Juan Marichal","1008106","1.6","2.3","1.7","6.7","6.4","6.8","6.3","3.7","5.9","7.8","3.2","4","N"
"Paul Assenmacher","1000344","0.8","-0.2","1.1","1.6","1.4","2.2","0.7","0.5","0.7","0.8","1.4","1","A"
"Jamey Wright","    715","1","0.6","1.5","1","1.8","0.8","-0.2","0.6","0.6","0.8","0.4","0.6","A"
"Zach Duke","   3840","2.2","3.2","0.7","2.7","2.9","0.2","0.6","0","1.3","-0.5","1.3","0.9","B"
"Roger Clemens","    815","3.4","2.3","7.1","8.4","9.2","5.1","8.2","8.5","7.6","3.7","4.2","2.4","N"
"Jim Barr","1000606","0.2","1.9","2.5","3.3","2.7","3.6","3.1","2.1","1.6","-0.7","0.6","0.6","E"
"Eddie Fisher","1004085","-0.4","2.2","1","0.4","0.5","0.6","0.1","0.2","0.2","0.2","0.1","-0.3","A"
"Carl Pavano","    790","0.9","2.1","1.8","0.4","0.8","3.3","4.5","0.6","0","3.5","2.8","2.4","C"
"Fernando Valenzuela","1013327","4.9","6.1","4.2","5.2","5.4","6.2","2.3","-0.2","1.6","1.7","1.4","0.2","O"
"Paul Lindblad","1007614","0.8","0.3","0.2","0.2","-0.1","0.3","0.2","-0.3","1.5","1.3","0.9","-0.6","A"
"Hector Carrasco","   1240","0.4","1","0.1","0.5","0.5","0.7","0.4","0.6","-0.1","1.3","0.7","-0.5","A"
"Russ Springer","   1652","-0.3","0.1","-0.3","0.9","0.9","0.4","0.4","-0.2","0.2","0.1","1.4","0.6","A"
"Jim Perry","1010213","1.4","1","1.9","1.5","0.6","1.7","2.9","1.8","2.3","5.5","6.7","0.3","C"
"Pete Richert","1010922","1","0.4","0.1","2.8","2.4","2.5","0.1","0.7","0.8","0.1","0.3","-0.1","A"
"Roy Halladay","   1303","0.5","-0.3","4","6.8","7","2.8","3.8","5.1","5.1","6.6","7","6.2","K"
"Aaron Harang","   1451","1.2","1","1.8","4.6","5.7","5.4","1.4","2.2","0.7","1.4","2.3","0.4","G"
"Dennis Cook","      8","0.1","-0.4","0","0","0.2","0.2","1.5","0.7","1.4","0.1","-0.1","-0.1","A"
"Scott Erickson","    137","0.8","3.2","1.9","3.3","2.2","3.4","3.6","4.7","5.2","2","0.2","0.6","H"
"Tim Wakefield","    219","1.3","-0.5","2.6","1","1.8","1.6","0.7","-0.3","2.2","2.7","3.6","1.4","C"
"Jeff Reardon","1010741","0.6","0.4","1.7","0.7","1","1.2","0.1","0.7","1.6","0.6","0.2","0.1","A"
"Bob Knepper","1007031","1.6","4.5","0.1","1.9","2.7","1.6","2.6","1.7","2.8","3.5","0.1","1.1","I"
"Ken Hill","1005827","1.8","1","2.1","3.2","2.6","2.3","1.4","5.6","1.9","1.7","1.1","-0.4","H"
"Kevin Brown","    642","3.1","2.4","1.5","6.3","4.4","3.4","4.5","6.7","6.5","9.6","7.3","6.8","M"
"Steve Reed","   1053","-0.5","-0.1","1.7","0.3","-0.3","0.8","0.1","0.3","0.3","1.1","-0.2","0.6","A"
"Jered Weaver","   4235","2.5","2.9","3.2","3.8","5.8","5.4","3","2.3","1.3","0.8","0.1","-1","D"
"Justin Verlander","   8700","2.8","3.7","3.2","8.5","6.6","6.5","6.9","4.8","3.2","3.1","5.3","4.3","N"
"Kirk McCaskill","1008382","2.2","5.6","0.3","2.6","3.2","2.4","1.3","2.7","1.1","0.3","0","-0.1","E"
"Juan Pizarro","1010382","-0.2","3.9","3.9","4.7","3.9","0.9","-0.3","0.4","0","-0.1","1.3","-0.2","D"
"Dan Plesac","   1319","2.5","2.3","1.9","0.9","0.9","0","0.6","-0.2","0.3","1","1.7","0.6","B"
"Mark Guthrie","    876","0.3","3.4","0.6","1.4","0.2","1","1.1","-1","0.5","-0.1","0.5","0.3","B"
"Vicente Padilla","    964","1","0.7","3.6","2.7","1.3","0.6","3.2","0.7","1.5","1.7","0.7","0.2","B"
"Pete Harnisch","1005374","0.2","2","3.3","2.5","3.2","0.3","1.7","0.7","-0.1","3.2","2.9","0.9","I"
"Frank Tanana","1012818","3.6","7.2","6","5.8","2.8","1.3","3.5","1.2","2.6","2.6","2.1","3.6","O"
"Willie Hernandez","1005714","1.6","-0.4","0","0.8","1.4","1.4","3.2","1.7","0.8","-0.1","0.1","0","A"
"Jeff Fassero","    279","1.3","1.3","3.5","2.9","3.6","5.9","5","3.1","-0.5","1.8","1.7","-0.1","G"
"Mike Fetters","    988","-0.1","-0.1","0.5","0.1","0.9","0.5","1.4","1.2","0.5","-0.3","0","-0.4","A"
"Jake Peavy","   1051","1.7","0.8","4.1","5.4","4.4","6.7","3.7","2.7","1.8","2.9","4.4","2","G"
"Woody Williams","   1190","0.2","0.5","0.3","0.9","1.4","1.3","1.5","1.9","2","1.9","4.5","2.9","C"
"Floyd Bannister","1000516","1.7","0","2.3","4.2","1.8","4.9","5","2","2.5","2.5","2.3","1.2","G"
"Jose DeLeon","1003168","3","2.9","1.8","0.8","2.4","4.6","4.6","2.8","1.8","1.2","-0.3","0.9","E"
"Rollie Fingers","1004051","0.2","1.6","1","1.5","2.4","3.3","2.2","4.1","2.1","2.3","0.3","2","H"
"Dave Goltz","1004818","1.2","1.4","2.4","4","3.3","6","4.4","4.6","2","1","1.5","-0.6","G"
"Steve Rogers","1011138","2.6","4.4","4.2","4.8","7","3.7","4.2","4","3","6.4","4.9","0.5","K"
"Jon Garland","    232","0.4","0.3","2.2","1.7","1.9","3.5","3.6","3.5","1.3","1.8","1","0.2","H"
"Rick White","    456","0.2","0.8","0.3","1.6","0.7","0.6","0.9","-0.2","-0.9","0.5","0.1","-0.2","A"
"Jaime Navarro","1009465","1.8","2.1","3.1","4","2.4","1","3.3","3.2","3.2","-0.6","0","-0.6","H"
"Pat Hentgen","    145","-0.3","2.2","3.5","2.5","6","3.8","0.7","1.9","2.2","0.9","1.1","-0.5","D"
"Doug Drabek","1003473","1.5","2.7","2.4","2.5","4.2","3.9","4.8","4.1","2.9","2.6","1.7","-0.1","G"
"Chuck Finley","    384","0.5","0.7","2.4","3.8","4.8","2.9","1.3","5.1","3.4","4.4","5","2.9","K"
"Mickey Lolich","1007712","1.9","4.4","5.1","2.2","4.6","3.2","6","5.1","8.3","6.1","5.4","4.5","M"
"John Curtis","1002905","3.3","2.2","1.4","0.2","-0.3","0","0.5","0.8","1.6","-0.9","0.2","0.5","B"
"Moe Drabowsky","1003474","0.4","-0.1","2.4","0.6","0","1.3","1.4","0.2","0.8","0","0.4","-0.2","A"
"Tim Hudson","    921","3.8","3.5","5.1","4.7","5.8","4.6","1.8","2.5","4.9","1.9","0.6","1.7","F"
"Terry Forster","1004236","0.5","2.3","3.1","3","0.8","1.3","0.9","1.6","0.1","0.7","1.3","-0.3","B"
"Mark Portugal","1010460","1.3","-0.7","-0.7","1.6","1.7","0.9","0.7","3.4","1.2","2.2","1.7","1.5","C"
"Dave Roberts","1011031","-0.3","2.6","5.4","1.8","4.2","3.2","1.8","3.2","1.7","0.1","0.4","1.1","D"
"Cliff Lee","   1636","0.7","1.1","3.8","2.3","0.1","6.8","6.4","7.4","7.1","4.9","5.5","2","L"
"Roy Oswalt","    571","4.2","6.2","2.6","6.5","6.1","6.1","4.9","3.7","3.5","4.4","2.8","0.7","O"
"Jorge De La Rosa","   2047","0.3","-0.3","0.4","2.4","3.3","1.4","1.5","2.8","1.8","1.8","0.4","0","H"
"Tug McGraw","1008545","0.1","-0.4","1.3","0.7","2","1.6","-0.1","-0.2","0.7","1.3","1.1","1.2","A"
"Nolan Ryan","1011348","0.6","1.7","1.1","0.6","5.4","8.7","6.8","2.4","5.3","6.6","5","5.1","K"
"Bob Howry","    237","0.6","0.8","1.2","0.3","0.4","0.4","1.4","1.5","1.7","0.2","0.5","-0.7","A"
"Mike Caldwell","1001830","2.2","1.8","1.5","0.5","1.4","1.1","6.3","4.4","1.1","0.2","1.9","0","H"
"Bruce Kison","1006978","1","1","0.2","0.9","1.7","3.2","2","1.5","3","0.6","-0.3","1.8","E"
"Sam McDowell","1008476","0.1","0.6","3.7","8.7","4.4","2.8","6.8","9.4","7.6","1.4","1.6","1.3","L"
"Doug Jones","1006552","2.6","3.7","2.6","1.4","0.8","2.6","0.8","1.6","0.5","1","2.8","-0.2","B"
"Bret Saberhagen","1011355","1.9","6.2","3.5","5.2","5.5","7.5","2.9","4.4","2","3.3","5.4","1.8","F"
"Zane Smith","1012218","1.9","3.3","3.7","1.6","2.2","4","4.6","2.2","1.2","1.5","2.4","1.3","D"
"James Shields","   7059","1.7","4","4.1","3.4","2.1","4.9","3.8","4.1","3.4","0.8","-1","-0.2","D"
"Mike LaCoss","1007240","0.6","2","1.3","-0.1","0.2","0.1","1.8","0","1.9","1.4","1.6","1.6","A"
"Steve Renko","1010835","0.1","1.4","1","-0.4","2.7","3.7","0.7","3.3","1.2","2","2.3","1.8","C"
"Scott Sanderson","1011422","1.3","2.5","2.7","2.2","2.9","0.6","3.6","2.2","2.7","1.1","1.6","1.4","I"
"Jack Morris","1009211","0.5","0.3","3.6","3.7","2.7","2.2","6.2","4","4.7","4","4.1","4","L"
"Jay Howell","1006098","1","2.9","2.3","0.9","0","2.2","1.5","0.8","1.1","0.5","0.7","-0.7","B"
"Bob Tewksbury","1012941","2.2","0.4","0.3","2.9","2.6","4","4.3","2","3.2","3.8","4","1.9","G"
"Darren Oliver","    206","0.2","0.7","2.3","1","1.4","3.3","0.9","1.2","0.1","2.2","0","0","A"
"Santiago Casilla","   2873","0.4","0.3","-0.2","0.6","0.3","-0.5","-0.2","0.4","0.2","0.1","0.1","0.1","A"
"Bronson Arroyo","    978","0.5","0.1","3.3","2.4","4.6","3.4","2.2","1.4","1.2","-1.6","2.2","1.1","D"
"Pedro Martinez","    200","1.7","3.4","3","5.1","8.5","5.7","11.6","9.4","5.5","7.4","7.4","4.9","M"
"Rudy May","1008310","0.4","1.9","3","3.5","2.6","1.5","2.7","4","2.2","2.2","1.1","1.4","H"
"Rheal Cormier","    952","1.5","3","1.2","0.4","1.7","2","0.9","0.8","0.3","-0.2","1.5","0.4","B"
"Joe Coleman","1002428","1.7","2.5","2.8","2","7.1","3.9","4.4","1.5","1.2","1.4","0.8","-0.2","D"
"John Denny","1003210","2.1","1.4","1.4","2.7","-0.2","1.9","2.2","2.2","5.8","2.7","2.9","2.6","J"
"Phil Niekro","1009583","0.4","-0.4","3.6","3.6","6.3","1.8","4.3","6","3.2","7.2","3.6","4.3","K"
"Buddy Groom","    143","0","0.1","0.2","-0.3","0.6","0.1","0.6","1.1","1.1","1.9","1.4","0","A"
"Ted Power","1010504","-0.4","0","1.4","0.4","1.1","2","0.8","1.1","0.3","0.4","0.5","0.5","A"
"Randy Johnson","     60","1.6","2","2.6","3.4","7","5.2","9.5","1.6","7","7.6","9.5","9.6","M"
"Sid Fernandez","1004001","0.9","3.1","4","1.9","3.3","3.2","3.2","0.8","4.9","0.9","0.3","0.8","D"
"Omar Olivares","1009771","0.6","1.5","1.5","-0.1","-0.5","0","2","1.9","1.6","2.7","0.8","-0.1","A"
"Steve Bedrosian","1000766","2.6","1.4","1.8","1.7","0.3","0.8","0.6","-1.1","-0.6","-0.8","0.4","0.5","B"
"Aaron Sele","     34","2.6","2.4","0.4","3.3","0.8","4.7","4.9","4.3","2.7","1.3","-0.1","0.6","H"
"Kevin Tapani","1012824","0.6","3.5","4.6","4.5","4.3","3.4","2.2","2.7","1.6","2.1","2.6","2.3","D"
"Chris Carpenter","   1292","1.1","2.8","2.9","0.7","2.3","0.5","3.1","6.3","5","5.1","2.8","4.5","J"
"Ervin Santana","   3200","1.6","3","0.8","5.3","0.8","2.1","2.5","-0.8","2.6","3.2","1.5","3.5","I"
"Ron Reed","1010773","2.6","3.9","1.5","2.9","3.1","2.5","3.3","6.9","2.2","1.7","1.8","0.5","H"
"Jeff Russell","1011314","0.7","1.7","0.3","0","0.3","2","2.1","-0.2","1.2","1.8","0.2","0.6","A"
"Roberto Hernandez","    605","1.7","1.9","0.8","1","3.2","1.2","0.4","2.2","1","0.5","0.6","-1.1","B"
"Kip Wells","   1012","0.9","0.7","1.4","2.3","2.1","1.9","0.4","0.4","0.9","-0.2","0","-0.5","B"
"Milt Wilcox","1013939","0.2","0.2","0.8","-0.5","-0.1","1.5","3","2.8","2","2.8","2.4","2","C"
