Player,IP,K/9,BB/9,HR/9,ERA+,zWAR
Edwin Jackson,141.3,6.18,3.18,0.83,88,0.9
Rudy Owens,80.3,5.72,2.8,1.12,91,0.9
Matt Boyd,125.7,7.23,3.01,1.22,88,0.9
Wily Peralta,149.7,6.37,3.01,1.14,86,0.9
Ivan Nova,109.3,6.83,2.88,1.07,89,0.9
Rafael Montero,98,8.36,3.12,0.92,93,0.9
Radhames Liz,94.3,7.64,3.72,0.76,93,0.9
Kevin Siegrist,63,11,4,0.86,128,0.9
Ian Kennedy,161.7,8.91,3.06,1.17,84,0.9
Chris Heston,150.7,6.75,3.22,0.84,88,0.9
Taijuan Walker,145.3,8.36,2.54,1.24,84,0.9
Keone Kela,63,10.14,2.71,0.86,131,0.9
Shawn Tolleson,71.3,9.59,2.15,1.14,125,0.9
Jeff Francis,86.7,7.89,2.18,1.04,99,0.9
Roberto Osuna,63.3,10.24,2.84,1,129,0.9
Brett Cecil,54.7,11.52,3.13,0.82,136,0.9
Jonathan Papelbon,56.7,7.78,1.9,0.79,128,0.9
Blake Treinen,76.7,8.45,3.4,0.59,118,0.9
Yusmeiro Petit,93.3,8.1,1.83,1.25,96,0.9
Matt Wisler,156.7,7.06,2.64,1.26,85,0.8
Brian Johnson,104,7.36,3.89,1.04,90,0.8
Matt Barnes,119,7.03,3.25,1.06,88,0.8
Steven Wright,110,6.38,2.78,1.23,89,0.8
Justin Grimm,59,10.83,3.81,0.76,131,0.8
Tsuyoshi Wada,115.3,6.95,2.89,1.17,89,0.8
Tony Cingrani,77.7,10.66,4.52,1.16,97,0.8
Chris Rusin,152.3,4.96,2.66,1.3,84,0.8
David Hale,109,5.7,3.22,1.07,89,0.8
Tyler Anderson,89,6.17,3.34,1.31,89,0.8
Scott Feldman,130,6.02,2.77,1.18,88,0.8
Tony Sipp,54.7,11.35,2.8,0.99,133,0.8
Alec Mills,96.7,6.14,1.86,1.02,94,0.8
Tyler Skaggs,92.7,6.99,3.3,0.78,92,0.8
Yimi Garcia,71.3,10.48,2.15,1.01,120,0.8
Tyler Cravy,103.7,7.29,3.38,1.04,90,0.8
Kyle Lohse,139.3,6.27,2.26,1.29,85,0.8
Trevor May,124,8.06,3.12,1.02,87,0.8
Rich Hill,84,8.68,4.71,0.96,90,0.8
Jeremy Hellickson,133.7,7.67,2.56,1.21,83,0.8
Nick Kingham,88.7,6.9,2.74,0.91,90,0.8
Alex Reyes,102,8.91,5.91,0.79,90,0.8
Hunter Strickland,55.7,9.69,1.94,0.65,136,0.8
Sam Dyson,74,8.15,2.31,0.85,121,0.8
Shawn Kelley,52,11.08,3.12,0.69,131,0.8
Silvino Bracho,56,11.25,2.25,1.13,130,0.7
Brad Brach,76.3,9.91,3.89,0.94,113,0.7
Koji Uehara,41,10.54,1.76,1.1,132,0.7
Zach Putnam,55,9.98,3.76,0.82,120,0.7
Nate Jones,54.3,10.44,3.15,0.83,118,0.7
Tommy Hunter,65.3,7.86,1.93,0.83,120,0.7
Kendry Flores,113.7,6.57,2.77,1.03,89,0.7
Jose Urena,134.7,5.48,2.54,0.94,88,0.7
Zach McAllister,108.7,8.11,2.82,0.91,93,0.7
Cody Anderson,141.7,5.65,2.54,1.08,86,0.7
Adam Ottavino,56.3,9.11,3.2,0.96,122,0.7
Tyler Chatwood,52.7,6.49,3.24,1.2,97,0.7
Tyler Matzek,74,7.91,6.08,0.97,92,0.7
Jason Vargas,112,5.79,2.25,1.37,89,0.7
Hiram Burgos,89.3,8.06,3.73,1.11,88,0.7
Corey Knebel,63,11.29,3.43,1,119,0.7
Jeremy Jeffress,62.7,8.61,3.3,0.57,118,0.7
Josh Hader,104.7,9.03,3.95,1.2,87,0.7
Tyler Clippard,65,10.11,3.46,0.97,117,0.7
Felix Doubront,117.7,7.11,3.59,0.99,87,0.7
Sean Doolittle,44.7,10.67,1.81,1.01,128,0.7
Jake Thompson,125.3,7.54,3.16,1.08,83,0.7
Juan Nicasio,101.7,7.61,3.63,0.8,91,0.7
Antonio Bastardo,53.3,10.13,4.05,0.68,120,0.7
Marco Gonzales,109,6.94,2.81,1.16,87,0.7
Artie Reyes,127.7,5.78,3.31,0.85,86,0.7
Brandon Morrow,52,8.48,3.12,0.69,95,0.7
Nate Karns,139.3,8.79,3.49,1.29,83,0.7
Nick Martinez,140.3,5.45,3.46,1.15,85,0.7
Phil Klein,71.3,8.58,4.29,0.88,102,0.7
Alex Claudio,73.3,7,2.09,0.98,105,0.7
Drew Hutchison,142,8.05,2.73,1.27,86,0.7
Rafael Martin,51.7,10.79,2.96,0.87,123,0.7
Aaron Barrett,43.3,10.39,2.7,0.62,133,0.7
Braden Shipley,132.3,6.6,3.27,1.09,87,0.6
Andrew Chafin,74.3,7.51,3.51,0.61,117,0.6
Zack Godley,84.3,7.37,3.42,0.96,95,0.6
Sean Newcomb,122,9.81,7.08,0.89,85,0.6
Arodys Vizcaino,48,9.56,3.38,0.75,120,0.6
John Gant,126,7.93,3.79,1.14,84,0.6
Daniel Winkler,62.3,8.81,3.18,1.3,91,0.6
Junichi Tazawa,60.7,8.9,2.08,0.89,114,0.6
Jumbo Diaz,68.3,9.49,2.9,0.92,112,0.6
Josh Smith,156.7,7.06,3.22,1.15,82,0.6
Brad Hand,105.7,6.73,3.75,0.85,89,0.6
Eddie Butler,128.7,5.24,3.92,1.19,83,0.6
Justin Miller,54.7,8.39,3.13,0.99,113,0.6
Alfredo Simon,155.7,5.2,2.95,1.16,84,0.6
Francisco Rodriguez,48.7,8.87,2.03,1.11,123,0.6
Blaine Hardy,59.3,8.5,3.19,0.76,113,0.6
Luke Gregerson,59,8.69,2.14,0.92,117,0.6
Will Harris,63.3,9.24,2.99,1.14,115,0.6
Jered Weaver,151.3,6.13,2.38,1.31,84,0.6
Joe Smith,62.7,8.04,2.58,0.72,113,0.6
Chris Capuano,76.3,8.14,3.18,0.94,92,0.6
Junior Guerra,70.3,10.37,4.22,1.28,93,0.6
Jacob Barnes,81,8.22,3.67,0.89,93,0.6
Joe Blanton,78,8.31,2.08,1.04,93,0.6
Kevin Quackenbush,67.3,9.36,3.48,0.67,108,0.6
Nick Vincent,67,10.07,2.82,0.81,107,0.6
Sergio Romo,54.3,9.78,1.82,0.83,125,0.6
Felipe Rivero,56.3,7.99,2.72,0.64,121,0.6
Taylor Hill,138,5.09,1.96,1.11,85,0.6
Oliver Perez,46.7,10.79,3.47,0.77,118,0.6
Brad Ziegler,58.7,6.13,2.76,0.61,117,0.5
Tim Stauffer,75,7.2,2.76,0.96,97,0.5
Jake Brigham,103.7,6.34,3.12,0.95,86,0.5
Jason Grilli,36,10.5,3,0.75,127,0.5
Miguel Gonzalez,141.7,6.41,2.92,1.46,84,0.5
Oliver Drake,48.7,10.53,3.88,0.74,120,0.5
Mychal Givens,74,9.73,4.01,0.85,109,0.5
Dylan Bundy,35,7.46,3.34,1.03,97,0.5
Zach Duke,54.7,10.2,3.95,1.15,109,0.5
Dan Jennings,57.3,8.32,3.46,0.79,105,0.5
Jake Petricka,70.7,7,3.31,0.76,104,0.5
Trevor Cahill,115,7.75,4.15,0.94,87,0.5
Eric Jokisch,117.3,6.29,2.92,1.07,85,0.5
Neil Ramirez,33.7,10.42,3.74,0.8,129,0.5
Mike Dunn,55.7,10.34,3.88,0.81,114,0.5
Cody Ege,55.7,9.21,3.39,0.81,114,0.5
Jason Gurka,61,6.93,2.95,1.03,101,0.5
German Marquez,115.7,5.83,2.8,1.4,82,0.5
Kevin Ziomek,128,7.17,3.8,1.05,85,0.5
Justin Wilson,62,8.71,3.63,0.73,113,0.5
Alex Wilson,69,5.48,2.22,0.78,109,0.5
Pat Neshek,53.3,9.12,1.69,1.01,117,0.5
Kris Medlen,109,6.28,2.31,1.24,89,0.5
Buddy Baumann,73.3,7.37,3.44,0.86,99,0.5
Jharel Cotton,100.3,8.79,3.05,1.26,86,0.5
Brandon McCarthy,69.7,6.97,1.94,1.16,88,0.5
Carlos Frias,123,6,2.63,0.88,84,0.5
Chris Hatcher,60.3,10,2.39,0.9,111,0.5
Alex Meyer,100,8.64,4.5,0.99,87,0.5
Glen Perkins,54.7,9.38,1.97,0.99,115,0.5
Kevin Jepsen,61.3,8.66,3.52,0.88,109,0.5
Logan Verrett,128,7.24,2.18,1.2,85,0.5
Zack Thornton,68,8.74,2.78,0.66,108,0.5
Jarrod Parker,93,6,3.1,1.16,85,0.5
Michael Mariot,59.3,9.87,2.88,0.91,107,0.5
Allen Webster,131,6.25,3.37,0.96,83,0.5
Arquimedes Caminero,73.3,8.72,3.32,0.86,106,0.5
Miguel Socolovich,49,9,3.12,0.55,123,0.5
Seung-hwan Oh,62.7,9.33,2.3,1,111,0.5
Jordan Walden,33.7,10.42,3.74,0.8,130,0.5
Leonel Campos,55,11.78,4.58,0.65,111,0.5
Jay Jackson,67.7,9.44,3.19,0.66,104,0.5
Santiago Casilla,50.3,7.51,3.04,0.54,123,0.5
Tim Lincecum,118.3,7.91,3.73,0.91,86,0.5
Tony Zych,66.7,8.77,2.02,0.81,104,0.5
Joaquin Benoit,49.3,8.95,3.1,1.1,111,0.5
Luke Jackson,89.7,8.43,4.41,1.1,91,0.5
Colby Lewis,128.7,6.22,2.38,1.26,84,0.5
Mitch Lively,86.3,7.09,4.48,0.83,88,0.5
Kaleb Fleck,57.3,9.9,3.93,0.94,115,0.4
Randall Delgado,72.7,9.53,3.96,0.87,110,0.4
Ryan Weber,105.3,5.98,1.54,1.28,86,0.4
David Carpenter,56.7,8.41,3.81,0.63,109,0.4
Shae Simmons,34,10.06,4.24,0.53,120,0.4
Paco Rodriguez,35.7,10.59,3.78,1.01,117,0.4
Jason Frasor,31.3,9.2,4.03,0.58,121,0.4
Mike Wright,130.7,6.06,2.75,1.24,83,0.4
Andrew Triggs,61.7,6.86,2.48,0.88,105,0.4
T.J. McFarland,78,6,3,0.81,93,0.4
Brian Matusz,49.7,9.78,3.26,1.09,110,0.4
Edwin Escobar,76,6.87,2.25,1.3,88,0.4
Pierce Johnson,97.3,7.68,4.35,1.02,86,0.4
Greg Nappo,56.7,7.94,2.54,0.79,110,0.4
Ivan Pineyro,111.7,6.45,2.82,1.13,84,0.4
Josh Tomlin,85,7.52,1.48,1.48,85,0.4
Shawn Armstrong,54,11.5,4.17,1,107,0.4
Chad Qualls,47,7.47,1.91,0.96,111,0.4
Christian Bergman,112,5.06,2.09,1.53,83,0.4
Carlos Hernandez,85,4.87,2.44,1.38,83,0.4
Boone Logan,35.3,10.2,3.57,1.02,110,0.4
Mark Lowe,53.7,9.05,2.68,1.01,111,0.4
Randy Wolf,118.7,6.29,3.41,1.06,83,0.4
Michael Fulmer,114.7,7.45,2.98,1.33,83,0.4
Mike Pelfrey,112.7,4.79,2.87,0.88,83,0.4
Josh Fields,53.7,10.73,3.52,0.84,112,0.4
James Hoyt,55.3,9.93,2.77,0.98,110,0.4
Huston Street,55.7,8.56,2.59,0.97,110,0.4
Fernando Salas,57.7,9.2,2.03,0.94,109,0.4
Al Alburquerque,59.7,10.4,3.92,0.9,108,0.4
Michael Blazek,58,8.07,3.26,0.78,109,0.4
Taylor Rogers,143.7,5.64,2.76,1,81,0.4
Casey Fien,59.3,7.59,1.67,1.06,105,0.4
Michael Tonkin,65,8.03,2.49,0.97,103,0.4
Nick Goody,67.7,10.5,3.59,1.06,102,0.4
Hansel Robles,63,10.43,3,1,109,0.4
Dario Alvarez,57,10.26,4.11,0.95,98,0.4
Addison Reed,67,9.27,2.82,0.81,106,0.4
Chris Smith,86.3,7.4,3.23,1.25,86,0.4
Dillon Overton,88.7,6.19,2.44,1.22,85,0.4
Aaron Harang,148,6.08,2.98,1.09,79,0.4
Samuel Tuivailala,61.3,10.42,4.85,0.73,109,0.4
Matthew Bowman,129.7,6.04,3.05,1.04,82,0.4
John Gast,88.7,5.99,3.25,1.01,84,0.4
Cory Mazzoni,63.3,8.67,2.84,0.85,90,0.4
Colin Rea,118.7,6.67,3.49,0.83,81,0.4
Steve Cishek,61.7,9.19,3.35,0.73,104,0.4
Charlie Furbush,36.7,10.05,2.7,0.98,114,0.4
Aaron Loup,60.3,7.91,2.69,0.9,108,0.4
Paolo Espino,129.7,6.73,2.36,1.39,82,0.4
Bruce Billings,111.3,6.23,2.91,1.05,84,0.4
Craig Stammen,60,7.65,2.7,0.6,107,0.4
Sammy Solis,44.3,6.5,2.84,0.61,100,0.4
Matt Grace,67.7,6.51,3.06,0.53,104,0.4
Trevor Gott,71.3,6.82,3.66,0.63,102,0.4
Kyle Drabek,103.7,5.9,3.21,1.13,84,0.3
Ian Krol,57,9.63,3.47,0.95,105,0.3
Dana Eveland,69.3,6.62,3.25,0.91,90,0.3
Chaz Roe,60,8.1,3.6,0.9,102,0.3
Heath Hembree,59.7,8.89,3.32,0.9,104,0.3
Tommy Layne,55.7,8.24,4.36,0.65,105,0.3
Matt Albers,33,6.55,2.73,0.82,108,0.3
Rex Brothers,58.3,10.81,6.48,0.77,107,0.3
Carl Edwards,47,11.3,5.94,0.57,110,0.3
Zac Rosscup,46.7,11.37,4.63,0.96,109,0.3
Jean Machi,58.7,7.51,2.76,0.92,103,0.3
Burke Badenhop,62.3,6.07,2.31,0.72,102,0.3
Pedro Villarreal,74.3,6.78,2.18,0.97,99,0.3
Andre Rienzo,112.7,6.55,3.99,0.96,85,0.3
Nick Wittgren,64.7,7.79,1.95,0.83,107,0.3
Erik Cordier,53.7,9.39,5.2,0.67,105,0.3
Kyle Barraclough,63.3,9.95,6.26,0.57,104,0.3
Kyle Crockett,50.7,8.7,2.31,0.89,106,0.3
Carlos Estevez,56.3,7.83,2.72,1.12,104,0.3
Shane Carle,144.3,4.74,2.12,1.56,80,0.3
Jair Jurrjens,90.7,4.47,3.08,1.29,81,0.3
Mike Hauschild,123.7,6.26,2.76,1.02,82,0.3
Cory Rasmus,55.7,9.69,4.2,0.97,96,0.3
Frankie Montas,57.7,9.51,3.59,0.78,106,0.3
J.P. Howell,46.7,8.29,3.47,0.77,111,0.3
Pedro Baez,59.7,9.05,2.41,0.9,105,0.3
Lester Oliveros,39.7,9.52,3.85,1.13,98,0.3
Esmil Rogers,114,6.95,3.08,1.11,83,0.3
Chasen Shreve,66,10.09,3.55,1.23,100,0.3
Jacob Lindgren,38.3,11.51,4.46,1.17,105,0.3
Jenrry Mejia,37,10.22,3.16,0.73,113,0.3
Sean Gilmartin,65,8.45,3.18,0.69,103,0.3
Paul Sewald,53.7,8.88,2.68,0.84,106,0.3
Jerry Blevins,31,9.58,2.9,0.87,112,0.3
Ryan Madson,29.7,8.79,2.73,0.91,116,0.3
Ryan Dull,65.7,8.49,2.74,1.1,101,0.3
Jerad Eickhoff,149,7.91,3.08,1.45,78,0.3
Dalier Hinojosa,68,9.13,3.97,0.93,97,0.3
Wilfredo Boscan,95.3,5.48,3.02,0.85,84,0.3
Chris Volstad,133.7,4.44,2.96,0.74,81,0.3
Jared Hughes,62.7,5.45,2.87,0.57,101,0.3
Jonathan Broxton,52.7,8.2,3.07,0.85,107,0.3
Deck McGuire,134.3,6.57,3.02,1.14,83,0.3
Brandon Maurer,60,7.95,2.85,0.75,100,0.3
George Kontos,71.7,7.28,2.26,0.88,104,0.3
Matt Cain,101.7,7.35,2.74,1.24,83,0.3
Ross Ohlendorf,54,9,3.17,1,107,0.3
Yohander Mendez,55.7,7.59,2.75,1.29,91,0.3
Tom Wilhelmsen,64,8.16,4.22,0.84,104,0.3
Matt Thornton,32,6.19,2.53,0.56,115,0.3
Casey Janssen,44,6.95,1.84,0.82,105,0.3
Daniel Hudson,35.7,9.08,3.03,1.01,112,0.2
David Hernandez,45.3,9.54,3.38,1.19,105,0.2
Evan Marshall,61,7.52,3.25,0.74,103,0.2
Adam Miller,59,6.71,3.81,0.76,93,0.2
Dominic Leone,60.3,8.51,3.88,0.75,102,0.2
Adam Loewen,82.3,8.53,5.47,0.87,91,0.2
Mike Foltynewicz,114,8.37,4.42,1.11,83,0.2
Jason Hursh,113,5.26,3.03,0.88,81,0.2
Jeff Beliveau,29.7,9.7,3.94,0.91,110,0.2
Robbie Ross,53.3,7.77,3.04,0.84,100,0.2
Jesse Crain,17,9.53,3.71,1.06,111,0.2
