Name,playerid,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10
Francisco Liriano,3201.0,K,G,M,I,K,I,G,C,I
Bob Gibson,1004662.0,J,N,K,L,O,N,K,N,J
Neal Heaton,1005568.0,F,E,J,B,H,B,C,B,C
Bill Krueger,1007175.0,H,G,D,A,A,D,D,G,D
Phil Regan,1010785.0,A,C,E,E,A,D,A,A,A
Jason Vargas,8044.0,G,D,H,I,I,I,D,D,B
John Candelaria,1001909.0,I,M,L,M,G,F,E,C,F
Bruce Chen,769.0,F,B,C,B,C,A,A,A,A
Ken Forsch,1004234.0,K,J,G,G,D,H,F,E,C
Ted Lilly,833.0,E,H,F,F,F,G,H,C,F
Carlos Villanueva,4138.0,A,C,A,A,A,A,A,A,A
Cole Hamels,4972.0,L,L,K,L,J,N,I,H,J
Andy Hassler,1005480.0,E,E,B,C,B,C,C,B,B
Dan Schatzeder,1011527.0,E,E,E,E,D,D,B,A,A
Pete Schourek,1011608.0,E,E,C,C,I,C,C,B,B
Livan Hernandez,1116.0,H,J,M,J,K,G,H,C,M
Kevin Millwood,106.0,J,N,K,J,J,G,I,H,F
Edwin Jackson,1841.0,C,E,H,I,G,F,G,D,H
Wandy Rodriguez,2586.0,E,H,F,K,M,F,G,K,H
Kevin Gross,1005088.0,E,H,F,F,F,E,F,F,D
Fritz Peterson,1010227.0,M,M,O,O,O,M,M,M,L
Bryn Smith,1012104.0,E,E,M,J,K,G,G,C,I
Zack Greinke,1943.0,I,J,M,O,M,L,N,J,L
Ubaldo Jimenez,3374.0,J,L,K,L,K,M,L,I,I
Ricky Nolasco,3830.0,J,L,K,L,J,G,J,I,K
Paul Maholm,8678.0,E,E,H,I,I,F,G,D,B
David Cone,1680.0,J,L,K,L,O,N,K,M,L
Nelson Briles,1001432.0,E,E,F,I,I,I,D,C,E
Mark Gubicza,1005115.0,I,M,L,O,M,L,N,K,L
Luis Tiant,1013054.0,I,I,L,O,I,M,L,K,I
Bud Black,1001007.0,C,H,F,F,F,E,F,F,G
Steve Farr,1003953.0,A,C,D,C,B,D,D,G,A
Ron Perranoski,1010201.0,E,F,C,B,C,B,A,A,A
J.C. Romero,754.0,A,C,E,E,A,A,A,A,A
Blue Moon Odom,1009726.0,G,H,F,F,E,E,F,F,B
Marty Pattin,1010074.0,B,H,F,K,I,F,G,F,H
Walt Terrell,1012924.0,E,N,I,F,F,E,F,F,G
Bartolo Colon,375.0,J,L,K,L,J,N,I,H,K
Joe Blanton,4849.0,I,N,L,M,L,J,J,E,G
Ray Sadecki,1011360.0,E,F,C,C,I,C,C,C,E
Lee Smith,1012175.0,F,I,I,H,F,H,E,D,I
Glendon Rusch,707.0,H,N,F,J,F,G,J,F,G
Kyle Lohse,739.0,C,H,E,F,F,D,D,F,D
Felix Hernandez,4772.0,L,M,L,O,O,L,K,N,J
Oliver Perez,1514.0,A,H,E,E,D,E,F,F,A
Bert Blyleven,1001098.0,N,O,O,N,O,O,O,O,O
Orel Hershiser,1005741.0,N,O,N,N,N,M,M,M,N
Anibal Sanchez,3284.0,G,G,D,C,G,K,H,L,E
Rich Gossage,1004894.0,D,D,H,I,G,F,G,C,H
Dave Smith,1012117.0,H,G,D,A,A,A,A,G,A
Javier Vazquez,801.0,F,N,M,O,O,L,I,J,L
C.J. Wilson,3580.0,B,C,A,C,B,K,D,L,D
Bill Lee,1007448.0,C,C,A,K,I,K,N,D,H
Bruce Ruffin,1011294.0,I,K,G,G,H,B,B,E,C
Tom Glavine,90.0,F,E,H,K,M,L,N,J,F
Dennis Martinez,1008161.0,L,L,I,H,L,J,J,E,G
Scott Schoeneweis,33.0,F,E,E,E,D,B,B,A,A
Larry Gura,1005150.0,C,C,B,D,E,D,D,G,D
Kevin Correia,1767.0,D,C,B,D,B,C,C,B,A
Jim Brewer,1001406.0,D,C,A,E,A,A,A,A,A
Erik Hanson,1005333.0,F,N,K,L,J,G,I,H,K
Eddie Guardado,727.0,A,D,A,A,A,A,A,A,A
Jason Grilli,521.0,B,A,B,D,A,A,A,A,A
Jason Hammel,4538.0,A,A,H,I,I,I,D,D,B
Randy Myers,1009427.0,H,J,G,F,D,D,B,B,C
John Lackey,1507.0,I,J,M,O,M,L,N,J,L
Matt Thornton,1918.0,D,C,B,C,B,D,D,D,D
Homer Bailey,8362.0,D,C,B,D,B,K,D,D,D
Jimmy Key,1006885.0,F,I,M,J,K,G,I,H,F
Jason Marquis,105.0,G,D,B,D,E,A,A,G,A
Ryan Vogelsong,1011.0,B,A,A,C,B,C,C,A,A
Tom Browning,1001566.0,M,K,G,G,H,H,E,E,C
Frank Viola,1013435.0,A,H,F,J,M,L,K,N,J
Greg Swindell,76.0,E,N,F,J,J,G,I,H,K
Greg Maddux,104.0,E,H,F,K,M,L,K,N,J
Rafael Soriano,1100.0,E,E,C,C,B,C,C,B,A
Don Aase,1000003.0,H,J,G,G,D,B,B,E,C
Jim Bunning,1001653.0,O,O,N,N,N,N,O,M,N
Mark Gardner,1004529.0,H,J,G,G,D,B,B,G,C
Sonny Siebert,1011951.0,N,L,L,H,L,H,J,H,M
Jarrod Washburn,40.0,E,B,H,I,I,I,D,D,E
LaTroy Hawkins,729.0,F,E,C,B,C,D,D,G,D
Clayton Kershaw,2036.0,J,L,O,N,O,O,O,O,O
Mike Hampton,430.0,F,I,F,I,G,G,I,H,K
Trevor Cahill,6249.0,F,E,F,F,F,B,B,B,B
Tim Leary,1007438.0,A,H,E,K,I,K,D,D,H
Bob Veale,1013391.0,E,N,O,O,K,M,K,J,L
Armando Benitez,865.0,F,B,H,I,E,I,C,B,B
Steve Trachsel,898.0,H,J,G,F,G,D,D,C,D
Ian Kennedy,6986.0,F,H,F,F,F,E,F,F,G
Don McMahon,1008629.0,B,C,A,A,A,A,A,A,A
Joe Hesketh,1005747.0,J,F,J,B,C,B,B,G,C
Matt Young,1014385.0,K,M,L,M,D,H,J,F,C
Barry Zito,944.0,L,L,K,L,J,M,M,I,K
Mike Timlin,1187.0,H,G,D,C,B,C,C,B,A
Ryan Madson,1852.0,H,G,D,C,B,C,D,G,A
Jeff Brantley,1001358.0,C,B,C,A,C,A,A,A,A
Mark Eichhorn,1003712.0,J,F,J,B,H,H,E,E,C
Jack McDowell,1008473.0,I,N,K,L,J,L,I,H,K
Dave Stieb,1012532.0,L,L,K,L,O,N,I,H,L
Rick Aguilera,1000086.0,H,J,H,I,F,I,F,B,B
Dick Ruthven,1011330.0,J,F,J,I,G,F,E,C,I
Scott Downs,773.0,A,C,D,E,B,C,A,B,A
Trevor Hoffman,1035.0,E,B,H,I,G,I,E,D,E
Wilson Alvarez,1193.0,D,H,F,F,G,K,G,C,H
Jim Acker,1000030.0,A,B,B,D,E,D,A,A,A
Gene Garber,1004493.0,G,D,B,C,B,C,C,B,B
Bruce Hurst,1006222.0,B,H,F,K,G,K,H,L,F
Tippy Martinez,1008200.0,B,A,A,C,B,C,C,B,A
Javier Lopez,1663.0,A,D,A,A,A,A,A,A,A
Scott Feldman,6283.0,D,A,H,D,E,I,D,G,B
Larry Dierker,1003288.0,I,I,J,K,M,L,N,K,L
Dave Righetti,1010958.0,M,M,L,M,J,J,J,I,G
Bob Stanley,1012409.0,I,N,I,F,F,E,F,F,G
Dennis Leonard,1007531.0,L,N,N,L,N,M,M,I,K
Ray Burris,1001729.0,G,H,F,F,F,E,F,B,B
Mike Moore,1009122.0,F,N,M,J,K,G,I,H,L
Bob Walk,1013507.0,G,G,D,D,E,D,D,G,D
Brett Tomko,1056.0,J,K,J,B,H,B,B,E,C
Jack Billingham,1000970.0,D,H,F,J,K,G,G,F,H
Bill Campbell,1001874.0,F,F,C,C,B,C,C,B,C
Gary Peters,1010228.0,O,K,L,N,N,M,M,M,M
Joaquin Benoit,1437.0,A,C,B,D,B,C,C,B,A
Ramon Martinez,1008193.0,C,H,F,F,F,E,F,F,G
Bob Welch,1013750.0,K,J,F,F,G,F,G,C,F
Bob Wickman,413.0,E,E,E,E,D,D,A,G,D
Jim Abbott,1000012.0,I,N,K,J,L,G,J,I,G
Norm Charlton,1002160.0,E,E,F,F,F,E,F,F,B
Josh Beckett,510.0,L,L,K,J,J,G,I,H,M
Arthur Rhodes,1097.0,F,F,C,B,C,D,A,A,A
Steve Kline,1164.0,C,B,B,D,B,C,A,A,A
Ismael Valdez,1283.0,L,M,L,M,L,J,J,E,G
J.P. Howell,8245.0,C,B,B,D,E,A,A,A,A
Mark Langston,1007323.0,K,J,M,O,K,L,I,J,J
Tim Stoddard,1012556.0,E,F,C,B,C,A,A,A,A
Gene Nelson,1009501.0,C,B,A,A,A,D,A,G,A
Darold Knowles,1007058.0,A,C,D,A,A,A,A,A,A
Gregg Olson,1009791.0,I,J,G,F,D,B,B,B,C
Joe Price,1010530.0,C,B,B,C,E,C,C,B,A
Chris Short,1011931.0,A,C,H,K,M,L,N,J,L
Bobby Witt,1014170.0,E,E,F,K,I,F,G,K,E
Stan Belinda,1000792.0,D,D,B,A,A,A,A,A,A
Andy Hawkins,1005514.0,C,B,B,D,E,D,C,B,A
Dave McNally,1008655.0,E,J,F,F,G,G,H,C,M
Brad Penny,535.0,J,K,J,H,H,G,H,H,M
Sterling Hitchcock,824.0,C,E,H,F,F,D,D,F,B
David Weathers,902.0,E,B,D,C,A,C,A,A,A
Darryl Kile,1163.0,C,H,E,E,G,K,H,D,E
Ken Holtzman,1005989.0,K,J,M,O,M,L,N,J,L
Rick Sutcliffe,1012734.0,G,G,H,I,G,F,G,C,H
Todd Stottlemyre,75.0,C,H,F,F,F,E,H,C,E
Mike Mussina,837.0,L,L,K,L,J,N,K,N,J
Alan Embree,1030.0,C,B,A,A,A,A,A,A,A
Rod Beck,1730.0,F,F,C,B,C,B,B,A,A
David Robertson,8241.0,C,C,B,D,B,I,D,B,B
Elmer Dessens,317.0,F,I,I,H,F,B,B,B,C
Shawn Estes,873.0,J,I,J,H,H,H,E,E,C
Tim Lincecum,5705.0,N,O,N,L,N,M,M,I,G
Tony Sipp,8280.0,D,A,A,A,A,A,A,A,A
Joe Gibbon,1004658.0,J,K,J,H,H,H,E,E,C
Charles Nagy,397.0,J,N,I,L,J,G,I,H,K
Doug Henry,1005668.0,A,B,A,A,A,A,A,A,A
Randy Jones,1006582.0,I,N,K,J,K,G,I,I,K
Tom Candiotti,1001911.0,A,H,F,K,M,F,H,J,F
Dick Ellsworth,1003754.0,I,J,M,J,K,G,G,I,I
Mike Remlinger,111.0,B,C,E,E,B,D,D,B,B
Jesse Orosco,667.0,C,E,E,E,D,D,B,B,A
Francisco Rodriguez,1642.0,J,I,J,H,H,H,E,E,C
Dock Ellis,1003747.0,J,L,K,L,J,G,I,H,K
Alex Fernandez,1003993.0,I,I,M,J,K,G,I,H,M
Mike Flanagan,1004133.0,J,L,K,L,K,M,L,I,I
Rick Honeycutt,1005992.0,I,I,I,F,G,H,E,E,D
Tim Belcher,1000789.0,J,L,I,H,J,G,J,K,I
Steve Carlton,1001964.0,J,L,K,L,J,N,K,O,J
Jim Kaat,1006660.0,J,N,I,L,J,N,K,N,J
Eric Plunk,1010400.0,C,B,A,A,A,A,A,A,A
Bill Singer,1012007.0,M,O,N,M,L,N,M,H,K
Braden Looper,526.0,A,D,A,A,B,C,A,A,A
Joaquin Andujar,1000266.0,E,B,B,D,E,K,D,G,D
Andy Messersmith,1008799.0,J,L,K,H,J,N,K,H,M
Dwight Gooden,1004852.0,O,O,N,N,N,N,M,M,N
Kyle Farnsworth,278.0,B,C,E,E,A,D,A,A,A
Doug Brocail,551.0,G,D,D,C,B,C,C,B,A
Randy Wolf,976.0,J,I,K,J,K,J,L,I,I
Derek Holland,4141.0,E,H,F,K,I,F,C,B,B
Gio Gonzalez,7448.0,C,H,F,K,M,F,N,J,F
Mark Davis,1003067.0,C,A,B,C,B,D,D,D,B
Joe Horlen,1006025.0,H,H,F,J,K,F,G,C,F
Paul Byrd,594.0,B,C,A,A,A,D,D,G,D
Jon Lester,4930.0,A,H,M,O,K,L,G,J,F
Stan Bahnsen,1000414.0,K,J,G,M,G,F,E,K,H
Denny Lemaster,1007512.0,E,E,F,F,G,K,H,C,E
Steve Trout,1013197.0,I,K,J,H,G,H,E,E,C
Danys Baez,367.0,F,F,C,B,C,B,B,A,A
Mike Williams,1014.0,B,A,A,C,A,C,A,A,A
Max Scherzer,3137.0,I,I,I,K,J,L,K,N,J
Doug Bird,1000976.0,E,E,H,I,F,I,C,B,B
Keith Foulke,231.0,B,H,F,F,F,E,D,F,B
Mariano Rivera,844.0,J,I,J,H,H,H,E,E,I
Jonathan Papelbon,5975.0,J,I,J,H,F,H,D,F,I
Mudcat Grant,1004952.0,C,B,B,C,B,K,D,D,D
Fred Norman,1009632.0,B,C,B,D,B,I,D,C,E
Bill Swift,1012788.0,H,J,G,F,I,H,H,C,E
Mark Buehrle,225.0,J,L,K,L,J,M,I,J,L
Jose Rijo,349.0,E,E,E,C,I,K,H,L,J
Joe Smith,3281.0,A,A,A,A,A,A,A,A,A
Jim Bibby,1000945.0,F,E,H,I,G,F,E,C,E
Mike Maddux,1007951.0,A,B,B,C,B,C,C,B,A
Juan Berenguer,1000865.0,D,C,B,D,E,D,D,B,B
Dick Hall,1005241.0,I,I,I,G,H,B,B,E,C
Johan Santana,755.0,B,H,F,K,M,L,K,J,J
Trever Miller,1672.0,D,A,B,A,A,A,A,A,A
Johnny Cueto,6893.0,E,H,F,K,I,K,H,L,F
Ross Grimsley,1005071.0,E,E,H,I,F,I,F,F,B
Adam Eaton,1029.0,H,G,H,I,I,I,C,B,B
Jerry Johnson,1006464.0,A,A,A,A,A,A,A,A,A
Tom Gordon,282.0,I,K,G,H,H,H,E,L,F
R.A. Dickey,1245.0,H,D,D,C,B,K,D,D,D
Rudy Seanez,1279.0,C,C,A,A,A,D,A,A,A
Fergie Jenkins,1006388.0,L,N,O,N,O,O,O,O,O
Don Sutton,1012745.0,M,M,L,M,N,N,K,N,J
Jose Mesa,961.0,C,C,B,C,B,C,D,D,B
Matt Garza,3340.0,E,H,F,F,G,F,G,C,H
Bobby Bolin,1001146.0,C,C,B,C,B,C,C,B,B
Steve Hamilton,1005277.0,H,G,G,G,E,B,B,A,A
Don Robinson,1011061.0,M,K,G,G,D,H,B,E,C
CC Sabathia,404.0,L,M,L,M,J,N,K,N,J
Fernando Rodney,494.0,A,C,A,A,A,A,A,A,A
Ron Darling,1002989.0,E,E,F,I,F,F,G,F,I
Jeff Montgomery,1009071.0,F,E,J,B,G,E,E,B,C
Dan Wheeler,120.0,B,A,B,C,B,C,C,A,A
Terry Mulholland,665.0,C,C,H,K,M,F,G,D,H
Dan Haren,1757.0,A,H,F,K,M,L,K,J,L
Larry Andersen,1000236.0,G,D,D,A,B,D,D,G,D
Tony Cloninger,1002359.0,C,B,H,I,I,I,C,B,B
Turk Farrell,1003950.0,G,H,M,J,K,E,F,F,G
Tommy John,1006515.0,J,I,I,H,J,G,I,H,F
Milt Pappas,1009989.0,K,J,G,K,G,K,N,K,M
Brad Radke,748.0,F,N,K,L,J,G,I,H,F
Esteban Loaiza,1310.0,G,H,E,F,G,F,D,L,F
Cal Eldred,1653.0,I,K,J,G,H,B,B,E,C
Phil Hughes,7450.0,A,H,F,F,F,E,H,C,E
Dave Giusti,1004748.0,C,E,H,K,I,I,C,B,B
Greg Harris,1005415.0,A,A,B,D,B,C,C,B,B
Jerry Reuss,1010853.0,H,J,M,J,K,G,I,C,M
Pedro Astacio,862.0,I,K,J,H,G,H,E,C,E
Jeff Nelson,1092.0,B,A,B,D,E,C,C,B,B
Mike Bielecki,1000951.0,C,B,A,C,B,C,C,D,B
Jeff Weaver,503.0,I,L,K,J,J,G,I,I,K
George Brunet,1001590.0,C,B,A,C,I,C,D,D,B
Russ Ortiz,1124.0,F,E,H,I,K,F,G,D,B
Bob McClure,1008400.0,G,D,D,A,A,D,A,A,A
Brandon McCarthy,4662.0,A,C,B,K,I,F,D,D,E
Rick Rhoden,1010887.0,E,H,F,F,F,K,H,L,F
Andy Ashby,637.0,D,A,H,I,I,K,D,C,E
John Burkett,179.0,I,M,M,J,K,G,H,L,M
Tom Burgmeier,1001668.0,B,A,A,A,A,A,A,A,A
Mike Krukow,1007185.0,K,J,L,M,G,F,E,C,F
Juan Marichal,1008106.0,I,I,M,O,O,L,K,O,J
John Montefusco,1009065.0,J,L,K,L,L,J,L,I,G
Paul Assenmacher,1000344.0,D,C,B,D,B,C,C,B,B
Scott McGregor,1008546.0,J,I,K,J,K,G,I,I,I
